학번,학과,성별
DFSKJK_858,경영학과,여
DFSKJK_859,기계공학과,남
DFSKJK_860,전자공학과,여
DFSKJK_861,경제학과,남
DFSKJK_862,경제학과,여
DFSKJK_863,경영학과,남
DFSKJK_864,경제학과,여
DFSKJK_865,전자공학과,남
DFSKJK_866,경영학과,여
DFSKJK_867,경영학과,여
DFSKJK_868,기계공학과,여
DFSKJK_869,전자공학과,남
DFSKJK_870,경제학과,여
DFSKJK_871,기계공학과,여
DFSKJK_872,경영학과,여
DFSKJK_873,기계공학과,여
DFSKJK_874,경영학과,여
DFSKJK_875,경영학과,남
DFSKJK_876,경영학과,남
DFSKJK_877,경제학과,남
DFSKJK_878,의학과,여
DFSKJK_879,경영학과,여
DFSKJK_880,기계공학과,남
DFSKJK_881,경영학과,남
DFSKJK_882,경영학과,여
DFSKJK_883,기계공학과,여
DFSKJK_884,경영학과,남
DFSKJK_885,의학과,여
DFSKJK_886,사회학과,남
DFSKJK_887,경영학과,남
DFSKJK_888,경제학과,남
DFSKJK_889,경영학과,여
DFSKJK_890,경제학과,남
DFSKJK_891,경영학과,남
DFSKJK_892,사회학과,남
DFSKJK_893,경영학과,여
DFSKJK_894,기계공학과,남
DFSKJK_895,사회학과,남
DFSKJK_896,경제학과,여
DFSKJK_897,경제학과,여
DFSKJK_898,경제학과,남
DFSKJK_899,경제학과,남
DFSKJK_900,경영학과,여
DFSKJK_901,기계공학과,여
DFSKJK_902,경영학과,여
DFSKJK_903,기계공학과,남
DFSKJK_904,경영학과,남
DFSKJK_905,기계공학과,남
DFSKJK_906,경영학과,남
DFSKJK_907,기계공학과,여
DFSKJK_908,경영학과,남
DFSKJK_909,전자공학과,남
DFSKJK_910,전자공학과,여
DFSKJK_911,기계공학과,여
DFSKJK_912,경영학과,여
DFSKJK_913,기계공학과,남
DFSKJK_914,경영학과,여
DFSKJK_915,기계공학과,남
DFSKJK_916,사회학과,여
DFSKJK_917,사회학과,남
DFSKJK_918,경영학과,남
DFSKJK_919,경영학과,여
DFSKJK_920,전자공학과,남
DFSKJK_921,의학과,남
DFSKJK_922,경영학과,남
DFSKJK_923,경영학과,여
DFSKJK_924,기계공학과,남
DFSKJK_925,전자공학과,여
DFSKJK_926,경제학과,남
DFSKJK_927,기계공학과,여
DFSKJK_928,사회학과,여
DFSKJK_929,기계공학과,남
DFSKJK_930,경영학과,남
DFSKJK_931,경제학과,남
DFSKJK_932,기계공학과,남
DFSKJK_933,전자공학과,여
DFSKJK_934,경제학과,여
DFSKJK_935,경영학과,남
DFSKJK_936,경영학과,여
DFSKJK_937,전자공학과,남
DFSKJK_938,기계공학과,여
DFSKJK_939,경제학과,남
DFSKJK_940,경제학과,남
DFSKJK_941,전자공학과,남
DFSKJK_942,전자공학과,남
DFSKJK_943,경영학과,남
DFSKJK_944,전자공학과,여
DFSKJK_945,기계공학과,여
DFSKJK_946,경제학과,여
DFSKJK_947,전자공학과,여
DFSKJK_948,경영학과,남
DFSKJK_949,기계공학과,여
DFSKJK_950,기계공학과,여
DFSKJK_951,경영학과,남
DFSKJK_952,경영학과,여
DFSKJK_953,기계공학과,남
DFSKJK_954,전자공학과,남
DFSKJK_955,경제학과,여
DFSKJK_956,경영학과,남
DFSKJK_957,사회학과,남
DFSKJK_958,기계공학과,여
DFSKJK_959,경영학과,여
DFSKJK_960,기계공학과,여
DFSKJK_961,기계공학과,남
DFSKJK_962,기계공학과,여
DFSKJK_963,경제학과,여
DFSKJK_964,기계공학과,여
DFSKJK_965,사회학과,여
DFSKJK_966,기계공학과,여
DFSKJK_967,경영학과,여
DFSKJK_968,기계공학과,남
DFSKJK_969,사회학과,여
DFSKJK_970,경영학과,여
DFSKJK_971,기계공학과,남
DFSKJK_972,전자공학과,여
DFSKJK_973,사회학과,남
DFSKJK_974,기계공학과,남
DFSKJK_975,경영학과,여
DFSKJK_976,사회학과,여
DFSKJK_977,전자공학과,여
DFSKJK_978,경영학과,남
DFSKJK_979,경제학과,남
DFSKJK_980,기계공학과,여
DFSKJK_981,경영학과,남
DFSKJK_982,전자공학과,남
DFSKJK_983,기계공학과,남
DFSKJK_984,경제학과,여
DFSKJK_985,경영학과,여
DFSKJK_986,경제학과,여
DFSKJK_987,경영학과,남
DFSKJK_988,사회학과,여
DFSKJK_989,경영학과,남
DFSKJK_990,기계공학과,여
DFSKJK_991,사회학과,남
DFSKJK_992,전자공학과,남
DFSKJK_993,경영학과,여
DFSKJK_994,의학과,남
DFSKJK_995,사회학과,남
DFSKJK_996,사회학과,여
DFSKJK_997,기계공학과,남
DFSKJK_998,경제학과,여
DFSKJK_999,경영학과,여
DFSKJK_1000,경영학과,남
DFSKJK_1001,사회학과,남
DFSKJK_1002,사회학과,여
DFSKJK_1003,경영학과,남
DFSKJK_1004,경영학과,여
DFSKJK_1005,전자공학과,남
DFSKJK_1006,의학과,남
DFSKJK_1007,경제학과,남
DFSKJK_1008,경제학과,여
DFSKJK_1009,기계공학과,여
DFSKJK_1010,사회학과,여
DFSKJK_1011,경영학과,여
DFSKJK_1012,기계공학과,여
DFSKJK_1013,전자공학과,여
DFSKJK_1014,경영학과,여
DFSKJK_1015,경영학과,여
DFSKJK_1016,경영학과,남
DFSKJK_1017,전자공학과,여
DFSKJK_1018,사회학과,여
DFSKJK_1019,기계공학과,여
DFSKJK_1020,경제학과,여
DFSKJK_1021,경영학과,남
DFSKJK_1022,경제학과,여
