사원ID,부서,성과등급,근속연수,교육참가횟수,평균만족도
akveuzeuka,XX,B,15.0,21,1.8
lw5rx426i9,XZ,A,8.0,9,1.4
o51vzqxqog,YF,S,9.0,11,2.5
naqjp4pw9l,XX,S,2.0,3,1.7
5n8idaar4o,YF,C,,2,3.6
ah9ay9i9aj,YE,B,13.0,18,2.5
fp1hxoajts,XX,A,4.0,4,0.6
u16n6ucg0d,YC,A,14.0,8,3.8
2v7nm6xz92,YB,A,7.0,4,0.5
42iet3vcif,YC,A,12.0,18,4.2
gp7ilznxnv,YG,A,5.0,7,4.7
c9zjsz8omz,YB,S,17.0,21,1.6
abv7fqt1ux,YC,S,8.0,10,4.6
n8zgu52j7x,YB,S,12.0,7,4.0
wkjmsz55rm,YB,B,2.0,1,4.6
7tqht7sc7p,YA,C,8.0,9,3.3
ygacvd0bin,XZ,A,13.0,9,1.2
wfamih9kp9,XZ,B,8.0,4,4.5
h2qkd5g0jw,YA,A,8.0,6,0.9
q7vmefwufv,YF,S,11.0,14,1.1
ojrcbv3xn8,XY,B,17.0,13,1.4
w7v9d4k5lt,YF,S,9.0,5,1.5
jukcmxr2fv,XX,A,10.0,13,2.6
nchx2wungs,XX,A,10.0,8,3.6
86aionjpu4,YB,C,,3,4.6
4gjfl7ywhs,YC,A,14.0,19,0.4
n2nszamweo,YC,S,14.0,14,4.8
6n6mgdo169,XZ,A,5.0,3,4.6
67q13ia3yb,YD,C,13.0,12,0.3
izlmcqqmhj,YF,C,18.0,19,1.8
x7j0rq663d,YG,S,3.0,3,4.1
sgghmxqb3e,YE,B,14.0,21,3.1
i886z7lij5,YC,A,19.0,16,3.9
kk2exsg84n,YE,C,16.0,8,
1ti5mvmtw2,YB,A,9.0,11,2.5
ekpszwo0xm,YE,A,16.0,15,0.2
8gcoum66vz,YG,B,2.0,3,2.9
atpjokkyri,YA,C,11.0,5,0.2
dqobatxn8l,YG,A,13.0,9,
a50zan4bo5,YE,C,6.0,3,4.0
uqsg6xfqe4,YG,S,10.0,13,2.9
oh59ex4bbi,XY,S,9.0,4,5.0
kxleni207m,YB,A,17.0,23,2.3
q9r34p43r8,YF,C,15.0,13,3.7
3227meztrs,YA,A,14.0,12,3.3
gnykgu20rg,YC,C,14.0,20,5.0
tg0lz7dtsy,XX,C,6.0,9,3.6
tm8ewikp6r,YF,B,17.0,14,0.8
811mh7c54c,XX,B,12.0,13,4.8
euaawx32zx,YB,B,6.0,4,
ta7mke0ob5,YA,A,,20,0.3
kztgtkt235,XZ,B,12.0,16,3.3
5chikzj9rc,YC,B,20.0,11,4.4
59s1bcdmyo,XY,S,4.0,5,2.9
u9uvv3q0x0,XZ,C,16.0,20,1.8
ogo1jkxrj5,YB,C,8.0,11,4.1
7a3vern81q,YF,B,8.0,6,3.9
syg5r0pgkw,XY,C,7.0,6,2.7
0ddobb1r3b,YG,S,4.0,6,0.8
s67c4uvazk,YE,S,14.0,21,1.3
sh65xt5b19,XY,B,8.0,6,3.7
xvxoyuwxga,YB,S,,7,4.0
cnww304c69,YD,C,19.0,10,1.4
0ljoqvcjwm,YE,A,9.0,4,1.8
6xsi41rcz2,XX,C,18.0,16,0.4
y6y5ldnylp,YC,A,2.0,2,3.6
9htpyo8p3d,XX,B,15.0,15,0.0
yympgvkfzj,XY,A,18.0,16,0.2
s3mj8s4isy,XX,S,11.0,9,0.0
m96me227ya,YB,C,13.0,6,3.2
oy1jl8bimb,YG,A,,16,2.1
f7p7zkt9mg,YF,C,15.0,22,1.5
gf5m3069ie,YC,B,17.0,13,4.6
elz1qc8qus,XX,B,9.0,10,1.0
50ref1fo4q,XX,S,11.0,12,1.9
0dx0emda5i,XY,B,18.0,21,4.7
odh4ue52n3,YF,A,19.0,20,2.1
c5xzu1sdfz,XZ,B,,20,2.8
6e9cnp2jiv,XX,S,18.0,15,0.4
dlg7e6qekx,YB,C,17.0,25,4.0
ankjcym5eq,YD,C,20.0,23,2.1
4j4e59nm1v,YC,B,9.0,4,4.0
weo2ypuujm,XX,A,7.0,10,1.3
xe8e463xgr,YB,S,7.0,7,2.1
be7ythrsh8,YB,A,10.0,14,3.9
ki1th5ekik,YC,S,5.0,3,4.9
5c6eh9ojhw,XZ,B,13.0,8,0.3
cb0n6tmgcg,YB,S,13.0,11,4.1
7i18pinkiw,YD,S,18.0,18,1.5
0wao9m374e,YB,B,16.0,15,2.8
mpz9qm1ryn,YB,A,10.0,9,1.5
fc4q6qa01r,YB,B,8.0,8,3.1
xeazilgt5e,YG,S,,11,1.8
8qh7viqk4m,YG,B,17.0,20,1.7
jj04dfejmk,XZ,S,13.0,19,0.2
6mgst0l6pp,XX,B,8.0,8,0.7
75d3nuz0f6,YB,C,19.0,24,4.6
ghzz3e0kaf,YF,C,16.0,22,5.0
gi9kape7dy,XX,B,7.0,3,3.9
e39u8nz1h2,XZ,A,13.0,11,1.4
8a1964jbui,YA,S,12.0,12,2.0
hhe4yyqg9g,XX,C,4.0,5,3.7
sxd83ctimh,XX,A,3.0,4,4.8
jbxpy1q7t3,YE,S,7.0,7,2.3
gi12nuzd2t,XY,C,,7,4.1
v4uenlfup4,YE,C,19.0,22,4.9
b90hxkn82u,YD,B,17.0,23,4.4
5djl56aczk,YG,S,9.0,7,1.1
4dw8y035if,YG,A,12.0,17,0.0
b0uctw2wls,XY,A,11.0,12,2.5
s2c7dm4bl0,YC,A,13.0,17,2.7
1hubjfm61k,YC,S,7.0,4,1.0
s223420wnz,XZ,A,6.0,3,1.4
j9u4twfak8,XY,A,10.0,5,3.8
u1wrsdm2t2,XX,A,17.0,10,2.4
0fzcay5m9t,YC,B,15.0,18,1.6
fdn9ur8dy4,YB,B,9.0,7,3.1
mbpsw84a48,YF,S,20.0,22,3.3
h9m1a5wcdg,XX,S,15.0,13,3.8
6mfk9z7qoh,YD,A,8.0,9,0.8
5ddqii7lbi,YB,B,6.0,4,3.7
uzvxf7lc7a,YB,C,19.0,18,3.0
k182xp4suj,XY,C,3.0,4,0.3
jy27xuz7qh,XZ,A,12.0,16,3.9
aytbbabknv,YD,A,9.0,4,1.9
ka46uj2wnv,YC,B,,2,1.7
azlzgc97m5,XY,B,13.0,8,2.2
356tcr9vbx,YC,B,3.0,3,1.7
u1n97nta8k,XY,S,19.0,10,1.7
kkvq9km1wh,XY,S,8.0,5,4.0
7txvyvxgwl,XY,A,18.0,18,0.6
fnfwwdxhd7,XZ,S,15.0,18,4.9
xvzsgbvp7b,XY,B,8.0,7,
h79ckaa5hj,YA,B,4.0,6,0.9
2ez0rwboxk,YF,S,7.0,3,0.7
aun3adjzuj,YC,C,3.0,3,3.0
b6th2ub57r,XX,A,18.0,18,3.2
lbvyluxz7m,YE,C,13.0,7,0.3
c0vmoc7c1f,YD,A,13.0,18,1.2
ca1r3b1w09,YG,C,18.0,23,4.0
h5clihps11,XZ,S,11.0,6,0.2
i1hnac281i,XX,A,4.0,5,4.3
pkhfy2pdyd,YB,A,19.0,12,3.3
i0696iudky,YA,A,14.0,7,2.2
yx4axky327,YG,B,13.0,12,1.7
0vlpq301qi,YE,B,18.0,19,0.1
20vvvoxkzm,XX,C,5.0,3,4.1
g3dtofxmbb,YG,S,11.0,14,0.7
sd4w6r7s12,XX,B,12.0,6,1.5
48ckgllg6i,YA,A,7.0,5,2.8
nh6jy6jh82,YE,B,7.0,10,1.2
clzj2x74iw,YB,S,10.0,14,2.5
ns559r9j78,XY,B,16.0,21,4.0
lvjpwy13eo,YC,A,3.0,2,2.4
rp7gc5pein,YB,C,5.0,4,4.7
q2y5yyh6lt,XY,A,6.0,8,4.2
sjmw0yo0yj,XZ,S,18.0,12,1.7
jg04syd9es,YF,C,9.0,11,2.0
qukimwo6uk,YD,B,9.0,5,2.1
q90e8vgy33,YD,B,13.0,12,3.1
gvxwxeuqkw,YC,B,9.0,6,1.4
fqasjuykug,YE,C,20.0,23,4.8
spzegxsdo1,YA,A,4.0,4,3.0
94lmlp2wsc,YE,C,19.0,15,2.0
9iz7gkj3pl,YA,C,20.0,21,3.2
xsn4iyf4af,YE,S,20.0,12,2.0
mruoutcrzn,YF,C,16.0,22,4.1
mz1vo1eza3,XZ,B,7.0,7,2.8
afkrc56k4c,XZ,A,17.0,15,0.2
67j7i8lwig,XY,A,9.0,7,0.9
cf5hquddtn,YG,A,17.0,14,4.3
vb38z9a1iu,XZ,B,19.0,15,2.8
wxxlliwnni,XZ,B,17.0,25,4.8
fdwjxj3o3d,YB,B,12.0,13,0.4
4vz1d3c1uo,YB,B,8.0,12,1.5
20yrpv8u5g,XY,B,18.0,14,1.0
oo6p4jawbp,YG,C,18.0,13,2.8
n3nomn7tff,YC,B,13.0,6,
r3dz13zle9,YB,B,14.0,7,0.8
2v5wozk43a,YC,B,11.0,13,3.2
1rhim2ad0l,XX,B,8.0,7,2.7
eh65onrmqf,YB,A,15.0,7,1.4
j36nr387lg,YF,B,2.0,3,2.4
xuj4ablwcx,YG,C,18.0,20,3.7
sfnftmdiq0,XY,C,5.0,4,1.0
hmkgq5ev0u,XX,C,6.0,8,1.5
539rx966ff,YG,S,8.0,11,1.7
vxtb3e7sgd,YF,A,11.0,14,3.7
fzplk5b3uw,YG,B,18.0,10,4.2
bmqp7l2911,YF,S,8.0,11,1.9
j1jfb1y4bw,YF,B,2.0,2,1.5
g9af16tbvg,YC,S,8.0,4,
rm0g59cd0b,YE,S,12.0,16,5.0
8d7tgoj8rh,XX,C,10.0,6,3.4
xrfy3b5hnj,YG,C,13.0,13,
aw2qr15ap7,YA,S,4.0,6,3.3
9wi69hm94s,XX,C,5.0,6,3.7
knsfto1v7v,YE,S,5.0,3,1.9
bnvo2vjbop,XX,A,14.0,8,2.2
btrn93qomk,XZ,C,20.0,25,
96hht05lyj,YA,C,,13,4.1
28977clx78,YE,C,6.0,7,4.7
3vjp8uases,YC,A,8.0,11,3.1
bn549jg1j4,YG,S,17.0,21,1.7
48zpittm3d,YD,B,2.0,1,
wwnkkw1j95,YE,C,13.0,15,1.3
i2e99wo7xd,XY,S,3.0,3,1.3
jvly6nsg0a,YG,A,8.0,5,
jl1o7i0er9,YE,B,12.0,8,4.7
8hdxf1d3kb,XZ,C,14.0,20,0.2
zpp9znr124,YD,A,3.0,2,0.0
5yjdy64dmf,XZ,A,8.0,8,3.0
b46rg16g8b,YD,B,16.0,9,1.4
8wsdj791m0,XY,S,,10,4.4
u1gd4mzzjh,YG,C,3.0,1,1.6
oxj6wlh7h1,YC,C,8.0,12,1.4
ooqdmegpa2,XZ,S,5.0,3,1.3
08zjdcztt8,XZ,S,12.0,14,0.7
vile9sf2vm,YF,S,3.0,3,2.9
hxp3n327nt,YD,B,17.0,14,0.8
lcmwueq0k9,YB,B,8.0,8,2.1
qdcckxpjzk,YG,C,14.0,14,2.3
8jj34zjay1,YD,B,6.0,9,0.1
rkrrw8cmoh,YF,A,18.0,26,0.1
jpl5g40zjp,XX,C,13.0,11,2.6
9eaudygf6f,YD,B,20.0,23,3.5
yzy1sl75pi,YC,S,,5,4.7
j5dzwd3yl7,YG,A,7.0,3,0.9
jgxbdlwll0,YF,S,9.0,12,0.5
uucocw0m79,XX,C,14.0,19,0.3
qsk6lxcqhn,YA,S,6.0,7,2.2
q6b5e1h1dy,YF,B,3.0,2,3.1
n1a567hflv,YA,B,10.0,14,4.2
tzna455paz,YG,C,12.0,9,3.4
4vq4907x8u,XZ,S,7.0,6,1.0
5xavxsd929,YF,C,8.0,11,2.3
ddbcu47zgn,XY,S,8.0,8,4.6
bcjepbei95,YA,A,20.0,28,1.6
st020293tj,YC,B,7.0,9,2.5
hdbj06sk2g,XY,C,12.0,13,
18dotqxzae,YE,A,,13,3.7
pnmy2t08hq,YE,A,8.0,6,3.7
haj6ep4t17,XX,C,3.0,1,1.3
ev9h878fc4,XZ,C,20.0,26,
v22woz2hvx,YG,A,5.0,5,0.4
s0qvwk9l8k,YF,S,7.0,5,3.0
w84bxu62ev,YB,A,18.0,23,0.5
6whjhfy9lh,YC,C,6.0,6,4.2
4z7dpy8f3n,YA,A,8.0,9,4.1
90j04lcxcb,YG,S,10.0,14,2.7
jptfhotrtl,XY,B,2.0,1,0.7
ti0cb2fzhz,YE,B,2.0,1,0.1
q4zmhqi7e3,YC,A,20.0,22,4.0
32yz7pumaa,YB,S,,9,3.0
8jzzss7435,YF,B,19.0,25,3.6
kcadn6s1bc,XX,A,11.0,13,1.5
egxr1greyj,YB,A,12.0,11,2.5
mzlko0bz3y,YC,S,2.0,3,3.7
q2w6s62g57,YB,C,2.0,2,2.3
4bfsok5g2o,YC,A,14.0,11,3.0
wgorg9p8ba,YC,C,6.0,5,3.9
bljq2kqxg5,YD,C,2.0,3,1.1
k0cel6rcel,YA,B,4.0,4,0.3
l229tkmrfi,YE,C,19.0,21,2.7
2ba8907hni,YD,S,10.0,6,0.3
4uz2pk1wjd,YF,B,15.0,20,3.8
7z0o23olzk,YD,B,18.0,15,
ogcxepq602,XZ,B,15.0,11,4.4
vj1wtmcvv0,XZ,A,5.0,7,3.2
fj9y4e1ttj,YE,A,6.0,3,0.3
15eu2h61gp,YB,C,18.0,18,1.3
p85i8o3l2w,YA,B,3.0,3,4.0
oqx0y5zug7,YE,B,6.0,9,0.8
rjerfkdq2w,YC,S,5.0,5,3.5
0wlhm1zvqp,XY,C,5.0,7,3.9
uy8t4tasuh,YA,S,7.0,3,1.7
xcjp3suvep,YA,C,14.0,20,1.6
k551uoakah,YC,C,6.0,3,2.8
skw9ictrmo,YC,A,8.0,5,4.3
42fz1ksa6j,XX,A,2.0,3,1.1
0a43n1vxxm,YE,S,15.0,7,4.7
r2q7eqhpen,YC,C,5.0,4,3.0
2c7u4qqfjt,XZ,B,18.0,12,5.0
3aycuc00wf,YF,A,15.0,19,
lplpf99hke,XY,B,17.0,25,0.6
3izcgff8w3,YE,S,15.0,9,
tcr36pbk5t,YG,A,17.0,12,4.3
s0qxvhfkov,XZ,A,9.0,4,2.2
xm0lzub11e,YB,C,4.0,2,3.6
s5scw2l1ra,YC,S,20.0,17,
6j6t39eyo5,YG,C,2.0,3,0.2
ljbhmp50cr,YC,A,3.0,2,2.9
n4ulq6u1zm,YA,S,16.0,8,4.3
crdpot95cp,XZ,A,11.0,16,2.0
43np6k055m,YA,S,19.0,21,
f6c827oy8o,XX,A,15.0,16,4.0
aobvoeaj2t,YA,B,18.0,25,1.7
ttlmlcoq8j,XX,B,14.0,20,0.0
up0lek6wch,XX,C,2.0,3,
p108yp097m,YG,B,6.0,7,3.0
upfsj52th7,YC,A,14.0,15,4.1
lxtauc5qyp,YB,A,15.0,17,4.1
9pwhrqy150,YA,B,4.0,2,0.3
hsexxb906d,XZ,C,16.0,20,0.9
gqkt77zpp9,XX,B,20.0,29,1.6
asqcwl2be0,YC,S,18.0,19,1.6
tqmmwwzd27,XY,S,,5,3.3
zu5bi1l59a,YE,S,17.0,18,3.1
nm59ntqbmi,YG,B,,15,2.5
ck2npiar6r,YB,B,13.0,12,1.1
4d8ux59cft,YD,B,13.0,12,1.9
0fiaqnzd4o,YG,S,12.0,15,2.7
ynzu89b4bk,XY,C,18.0,13,2.3
hawzizhpsr,YE,A,9.0,9,0.6
jby2hvlcjk,XY,B,18.0,27,3.2
n529zh0aqx,YA,C,12.0,6,0.4
jpei30vp5s,XX,A,3.0,3,1.9
h6usa7fi33,YB,A,11.0,16,3.6
qyc7571e20,YF,A,11.0,6,0.1
1xvgeu8thi,XX,C,12.0,13,2.8
r1fbizc32k,YF,C,7.0,7,1.7
5v62dm1pjj,YE,S,5.0,2,0.0
9zhlb5i0c9,YC,C,13.0,15,1.0
f21j5eauee,YD,C,,12,4.7
qtjkk9zwz6,XZ,C,14.0,11,2.6
hwi73mqy5w,XX,A,6.0,7,5.0
no5hxp6crw,YB,B,7.0,8,2.6
7hao9dzd5b,XY,S,,2,2.7
wcseuldon2,YB,B,7.0,8,2.0
hoz6y98bmd,YE,B,19.0,19,1.6
8rvu4iwjpk,YF,C,10.0,7,1.3
bgt871f0u4,XY,S,16.0,9,1.7
gnbeeqwy0i,XZ,B,9.0,11,2.3
k4woz9630r,XZ,B,20.0,22,1.0
b4jhc65pzu,XX,S,17.0,14,1.1
p4hkov3mhw,YE,C,7.0,6,1.4
tjexf988m8,YC,B,7.0,6,2.2
mwos30j1nu,YE,A,4.0,3,3.3
brl0kuw6mc,YF,B,11.0,7,4.3
k1lz4jskz6,YB,A,2.0,1,1.4
9370p6oopz,XZ,C,15.0,18,0.9
hhq8ldtthv,YB,B,5.0,5,1.9
g72r4nmnnr,YB,S,13.0,10,
m1hjcojhlh,YB,S,7.0,8,0.0
rlt3uzjklc,XZ,B,12.0,6,3.4
s1grch2bj9,YG,C,13.0,9,2.4
qacqgqji9s,YA,C,11.0,8,0.8
5dh7b20b65,YF,S,19.0,17,1.6
6vjyxwa6tr,YG,B,8.0,8,1.1
jcpavbcw1y,YF,C,8.0,4,4.4
3kitfcrwl7,XY,S,12.0,6,2.4
m449a9sl5j,YE,A,5.0,3,2.8
mjwaotv0nx,YE,B,2.0,2,3.0
q08bvnsyi2,YD,A,14.0,11,3.2
osgd70tegn,YE,A,19.0,15,2.5
akkiwyrn22,XZ,C,10.0,8,0.1
5u1d0bgmes,YC,C,10.0,8,1.7
zdwlcv6xro,XX,C,10.0,15,0.9
3yn4z3ggft,YD,B,11.0,14,3.4
wnyaod7ioa,XX,A,3.0,3,0.3
pjrljxxo8k,YF,B,7.0,5,2.8
d881s1ydd6,XX,C,16.0,9,1.1
kssbpf3i1l,XX,A,4.0,4,4.7
ecz4ofjb3x,YD,B,12.0,13,1.7
i3e5gvzxyc,XY,B,7.0,9,1.6
bpju53cfoa,YB,S,4.0,2,4.6
cbmxdpjnfr,YE,B,12.0,9,2.1
ror7sec5mu,YE,C,16.0,14,4.8
8dt9bl73um,XZ,B,14.0,11,0.1
lrod0jwgt8,YD,A,11.0,6,1.5
bhhdl2szvp,XZ,B,7.0,3,3.3
hz0h3qufzh,YC,S,16.0,20,4.5
fkmt60h1o9,YC,A,19.0,24,1.3
l168yigouu,XZ,A,19.0,13,4.7
bahmiyi1x2,YD,S,8.0,6,3.0
nsu6pov17z,XZ,C,16.0,22,4.0
2pac7poisb,YE,A,19.0,24,2.0
a6qpinmm91,YG,C,19.0,19,1.1
8tncg5t6m6,YA,A,10.0,13,
tmbdiqwahg,XX,A,3.0,3,4.7
9ziznib2lb,YA,C,,5,2.5
phjn6zgn24,YD,A,3.0,1,0.0
tndoh4g5q4,YA,C,12.0,14,0.5
5nt38w7v4w,YC,S,8.0,11,2.9
ynh37yyewm,YF,C,7.0,8,0.1
b3faalq4u5,XX,S,11.0,7,2.0
53gtfd10mv,YB,A,6.0,8,1.5
z5srbjesne,YD,C,12.0,10,
qn0rnt5xhz,XX,A,,1,0.3
tpw0zyrspq,YA,C,3.0,1,2.4
jtzxox26dq,YC,S,2.0,2,
5jm5bdu84g,XY,S,20.0,16,3.1
alhgf8n0wt,YG,C,3.0,1,2.0
lek28e5qk1,YB,S,5.0,5,1.5
g3tbf1a0kb,YG,A,13.0,6,3.4
txhak8f94y,XX,A,19.0,11,4.2
ke2n8hd12o,YC,B,2.0,2,3.5
nxvwggrfb1,YC,S,2.0,1,4.7
jgd87gaxvr,YA,A,15.0,22,3.6
jmzr6j9xh9,YE,C,5.0,6,3.8
4mbqvpaoa5,YA,S,6.0,7,0.8
ljhtro1fyo,YE,A,12.0,15,2.1
dhz6yf5m46,YE,S,14.0,8,2.4
3kgysf82j7,YB,C,17.0,10,1.3
f6sywhmhmt,YA,A,14.0,18,2.6
e95cnczoq4,XY,B,3.0,4,1.5
6920cuoodh,XZ,B,17.0,25,3.4
59rl0iep3m,XZ,S,7.0,3,2.4
lryje5xzoe,YA,C,15.0,13,2.3
f4dwrr1m2q,YA,A,2.0,2,4.9
p6c8zu9jd4,YG,C,18.0,27,2.0
evotpdv7gq,YB,A,12.0,12,1.8
9fe3sqir9e,YA,S,20.0,17,1.6
jqarkp1yaa,YG,A,4.0,2,4.5
843ygg8ljv,YE,C,12.0,10,2.5
v1c60328li,YC,C,6.0,4,3.0
do944y9yoe,YC,S,18.0,15,0.9
bfdyt74kao,YE,C,8.0,4,2.7
g7wh7h2i9k,YD,A,11.0,12,1.4
yh9oowwm2a,YG,S,12.0,8,3.7
rinwad0ets,YG,A,4.0,6,4.2
kti8uk644n,YE,C,11.0,8,3.6
9rpnktz8ud,XY,S,11.0,8,3.7
6m1xquhuls,YF,A,15.0,21,2.6
qwc2az95zv,XX,C,13.0,15,3.6
ujd344qkwi,YE,C,16.0,19,2.1
ydcpo793bo,YA,B,11.0,12,3.3
x32czxzoj5,YA,C,11.0,5,1.3
jjzdiqcp8g,YB,A,20.0,30,0.3
699vwbaoqm,YE,S,2.0,1,2.1
8dzrdqp2o6,YB,B,11.0,12,2.3
bax4hrsxjw,YE,C,3.0,2,1.3
uhaw129ot1,YG,C,18.0,23,3.6
rpegjlv49z,XX,C,8.0,10,
n1ena5wzsj,YG,A,8.0,6,1.1
twkucule7d,YF,B,10.0,8,3.7
04trernpix,YC,A,,3,2.2
kj92j0st52,XZ,B,15.0,22,3.5
uc5t7zohbg,YE,S,18.0,17,2.8
4dszaxgp6i,YF,A,2.0,2,4.8
c6dx3m47yj,YC,A,10.0,12,3.0
kzmsv00vjx,YD,S,20.0,21,0.1
woadx4vhkx,XX,B,5.0,2,1.8
bih0ste0tr,YB,C,9.0,6,0.7
xk96k8z2sy,YB,S,14.0,20,4.6
ravi3rz0sl,YG,C,5.0,5,0.5
oi63qwrswc,YA,C,10.0,14,
c9ic32ly3s,YC,S,10.0,6,1.1
x7g1k2mhts,YD,B,19.0,26,4.2
y0qelp3ynf,YF,C,13.0,18,1.5
hs4sel8i7x,XX,S,11.0,12,5.0
nb1igehpyb,YC,A,12.0,11,0.2
zink4dyc3u,YD,A,8.0,9,0.6
gtgqw0doa2,XZ,A,10.0,8,1.1
thjzal8dtb,YE,S,7.0,3,4.1
yapq4mnh9c,YB,A,,20,4.4
5d7t7ybs5f,YF,C,17.0,15,0.4
vf0daxsaby,YB,A,16.0,9,0.2
wa3yj50mzd,YF,A,8.0,5,3.7
yjmiix9vla,YG,C,17.0,23,0.7
j6ymztol9n,YA,A,6.0,3,0.7
b8eres5pdc,YF,C,17.0,11,0.1
wldgrwrptq,YB,A,2.0,2,0.2
l1j114blji,YG,C,20.0,30,1.3
rmpcpjfy66,YF,A,6.0,6,0.3
zmusnfsfif,XZ,C,8.0,7,1.8
1er0xlq7y9,YA,S,20.0,24,
5ajrgnr3kx,YF,C,6.0,9,1.6
hv3nu5w4ex,YG,A,18.0,15,3.6
vviyg7musa,YC,A,9.0,5,0.5
lx796kt9fp,XY,B,,1,3.3
27l91ab3e4,YD,C,3.0,3,1.6
pzxsbpsopl,XY,S,16.0,9,3.7
nhfnsicfhf,XY,C,19.0,28,0.7
7tpprp1lji,XX,C,12.0,6,4.5
r62n0s2z2t,XZ,S,,9,1.2
9iyxrs3v5g,YC,C,5.0,2,1.8
vfxgbz01rw,YE,S,6.0,6,4.8
q4o63lcv4b,YF,S,5.0,6,2.9
e3w7bryew9,YD,C,14.0,15,1.8
1lxwd1rb7g,YA,C,14.0,19,4.7
wljht9jt2v,YC,A,19.0,20,1.6
lt30cl58co,YB,A,3.0,4,0.5
sfp9671e7y,YE,B,17.0,22,5.0
pthquupqyb,XX,B,2.0,1,1.3
0py6u6229y,XX,C,,16,4.3
wjmceffzm1,YC,S,10.0,12,0.8
o2c22jsaz3,YG,B,4.0,5,3.7
bxzto7ujni,XY,C,8.0,8,2.6
nj606y2yyj,YB,B,11.0,14,4.9
5q16g36g5g,XX,S,2.0,2,2.8
k3mqzd28ug,YD,C,11.0,16,0.1
6tut4vwz5e,XX,S,10.0,15,3.0
vxmqx4afz6,YA,C,16.0,21,0.7
825agb2bjv,YF,B,16.0,21,4.0
jsn26he1iz,XX,A,4.0,3,4.3
pys2r562f3,YA,B,6.0,8,2.4
s43n50x6et,YC,B,10.0,7,3.9
gj49gpufev,YC,A,10.0,6,0.7
vu3cknvqru,YE,A,8.0,9,2.5
1ncj13ckyy,XX,C,13.0,9,2.0
crsl0n7gg5,YD,C,10.0,9,3.1
ck1sb6va65,XX,S,7.0,7,0.2
6x7x3e9uhk,YD,S,3.0,3,3.8
4uo0mah2lq,XZ,B,10.0,8,0.4
9rj7xwwso2,YE,A,18.0,27,3.3
zzmxgjtqep,XZ,S,,3,0.1
43vx9k37cn,XX,B,,24,4.2
21n3lee5uu,YE,A,7.0,10,0.9
zd0tyd2rz5,XZ,C,6.0,3,2.6
w9uqh9pgya,XY,B,3.0,4,1.3
c4ju0vhjgx,XX,C,10.0,10,3.6
zwp030v9ru,XZ,S,15.0,10,1.6
inzsqx0v0q,XY,S,5.0,2,3.6
b1j4vomj3k,XY,A,5.0,2,1.4
t6tstjam8j,YC,B,16.0,12,3.8
77r0r3dewi,XX,C,9.0,8,0.2
rumiqanrb7,XY,A,5.0,3,1.4
lmledehjnj,YC,S,17.0,14,2.5
rf5z5r2xfs,XZ,S,5.0,6,0.2
w347km45tl,YA,B,17.0,19,0.9
yxi7g2ndmy,XX,C,13.0,9,4.7
l4qv15o134,YE,B,17.0,11,4.9
pxge6xoqus,YD,C,20.0,30,3.7
fdhfkeifta,YD,C,9.0,8,1.3
axzdr5jra7,XZ,B,7.0,8,1.3
vgsjj7qikp,YG,A,11.0,12,3.2
zdaro13vhq,YG,B,6.0,9,0.6
ityspxjvh8,XZ,B,19.0,27,4.7
ucaeh0nz5l,XY,S,11.0,10,1.1
l18aqkk3ox,XX,S,11.0,16,5.0
s7g8lzu065,YD,B,8.0,5,2.5
9nu6bjf0hv,YD,B,19.0,20,3.9
1nh8wv8qvw,XY,S,2.0,3,0.0
xyqcyn1vn2,YD,C,8.0,6,4.4
20axhmqcwq,YE,B,2.0,1,1.4
vus6vqvd76,XX,A,16.0,12,3.3
a3zh1617vu,YF,A,5.0,6,4.0
owej96feqn,YD,A,11.0,10,0.8
shlddukw7g,XZ,B,10.0,11,2.2
yhrjz3ksbh,YE,C,,3,2.5
h4gb2dhwgp,YD,C,,11,1.6
9wcytua1ai,YE,S,17.0,8,2.4
5d0ddiutkb,YC,B,2.0,3,1.6
dedcwas694,YF,C,3.0,2,1.8
u76wklvhr6,YB,B,8.0,8,3.3
desi706y5g,XZ,S,11.0,8,3.2
i3e5oz54l9,XZ,S,2.0,1,1.2
kxy1srtboo,XX,S,14.0,13,4.5
eid13mwyp5,YE,A,2.0,3,4.3
ngh61f2zdl,XY,B,6.0,3,2.5
0jgm6aj2or,XZ,S,17.0,15,2.2
1k8jxs66n6,YE,B,16.0,9,1.9
2yt56ix5v0,YE,A,18.0,21,3.5
l1582fon26,YA,A,17.0,19,3.4
krgaee7t0v,YA,S,14.0,11,1.0
ane113bovc,YB,S,12.0,18,3.4
o9olkl1exo,YC,C,18.0,14,1.3
kcvarmsrb6,YB,B,18.0,23,0.1
p84ftaax73,YD,S,3.0,2,3.5
ha6bl34sn4,XY,C,14.0,13,3.2
u0k3z86mie,YD,B,15.0,12,
mqt1fwd7ce,YG,S,12.0,10,2.6
egodpq4h5v,YD,C,11.0,10,4.7
o3lr9xk6tl,XX,C,4.0,4,3.0
9po68pv9uw,YD,B,18.0,12,3.3
hifje1e5yb,YB,C,16.0,8,0.3
znm3iihmyw,XZ,B,10.0,13,0.8
cjna0pyhl3,XZ,B,11.0,15,1.5
8qaytcb4fl,YA,B,9.0,8,2.7
v1a06xq4oi,XY,A,14.0,14,3.9
um6w1g805y,XY,C,19.0,15,1.6
hj8gbtwq5n,XX,B,6.0,3,1.8
qepovgu29w,YB,S,7.0,3,1.3
ofnfrgfr1e,YA,A,18.0,9,1.3
