지역,작물명,작물_분류,작업_상위_분류,등급,연속_작업_여부,작업_연도,작업_소요_일수,작업_순서,재배면적,작업_시작_일자,평균_기온,작업자_수,작업_유형
충청,밀,과일,방제,B,아니오,2020,11.0,3,62471.28,2023-06-05,13.86,14,0
강원,감자,채소,수확,A,아니오,2022,8.0,4,59936.38,2023-07-28,24.92,15,1
강원,벼,과일,비료,B,아니오,2023,9.0,1,96599.19,2023-08-26,20.06,5,0
서울경기,밀,채소,경작,A,예,2020,28.0,2,40395.4,2023-08-15,20.63,17,0
충청,밀,곡물,경작,B,아니오,2024,11.0,1,93500.65,2023-04-10,15.32,12,0
강원,밀,곡물,수확,B,예,2022,23.0,3,26001.65,2023-07-27,12.74,17,0
경상,고구마,과일,방제,B,아니오,2020,4.0,3,62015.44,2023-07-14,21.52,15,1
전라,콩,곡물,경작,B,아니오,2020,15.0,1,88076.14,2023-07-01,16.25,8,0
경상,콩,곡물,방제,B,예,2019,2.0,1,29886.57,2023-10-06,15.1,10,2
서울경기,콩,곡물,방제,A,아니오,2021,3.0,2,27366.71,2023-05-25,13.14,12,2
경상,벼,과일,경작,A,아니오,2019,17.0,3,29457.34,2023-07-27,22.53,6,0
충청,콩,채소,비료,B,예,2024,20.0,4,41169.79,2023-06-04,25.85,7,1
서울경기,밀,곡물,경작,B,예,2021,22.0,1,88225.16,2023-03-16,19.8,12,0
충청,밀,곡물,수확,C,아니오,2024,13.0,3,23866.35,2023-06-27,24.48,7,1
충청,벼,곡물,방제,C,예,2022,8.0,2,88324.18,2023-03-21,16.58,17,0
전라,콩,곡물,경작,C,예,2022,3.0,1,27248.69,2023-05-20,16.44,2,2
서울경기,감자,과일,경작,C,아니오,2024,7.0,2,15609.88,2023-02-05,19.72,19,0
강원,고구마,곡물,비료,A,아니오,2023,18.0,3,22680.77,2023-08-12,19.39,15,0
충청,콩,곡물,비료,A,예,2019,13.0,2,99695.54,2023-06-01,20.58,8,0
전라,콩,곡물,방제,B,예,2023,27.0,1,54109.52,2023-06-27,17.98,17,0
경상,고구마,과일,경작,B,아니오,2022,13.0,2,83876.56,2023-04-07,24.73,16,0
전라,밀,채소,방제,B,아니오,2022,11.0,2,74796.8,2023-02-02,13.14,9,0
강원,밀,곡물,수확,C,아니오,2020,16.0,1,28251.34,2023-06-17,24.96,19,0
충청,벼,곡물,방제,A,예,2022,23.0,2,51007.18,2023-03-07,22.6,12,0
전라,감자,채소,방제,C,예,2024,10.0,2,3909.03,2023-09-15,12.13,11,2
충청,밀,곡물,경작,C,아니오,2023,14.0,3,49575.24,2023-02-13,15.86,8,0
전라,감자,채소,비료,B,아니오,2021,13.0,3,19918.02,2023-10-29,25.55,15,1
서울경기,밀,곡물,비료,B,예,2021,11.0,1,59860.77,2023-04-18,21.66,12,0
강원,감자,채소,경작,B,예,2021,23.0,3,39884.54,2023-07-11,12.34,15,0
강원,벼,채소,경작,B,예,2020,18.0,2,71727.16,2023-08-20,20.78,13,0
충청,밀,채소,비료,B,아니오,2022,18.0,2,18235.28,2023-08-19,13.18,11,0
경상,벼,과일,수확,B,아니오,2023,14.0,3,30386.56,2023-07-29,28.01,5,1
강원,벼,곡물,비료,B,예,2018,17.0,1,98608.49,2023-05-15,13.79,7,0
충청,고구마,채소,비료,A,예,2023,16.0,4,56085.87,2023-11-29,26.02,11,1
충청,콩,곡물,경작,B,아니오,2023,26.0,1,25616.42,2023-02-20,24.58,10,0
강원,감자,과일,방제,B,아니오,2018,2.0,2,9998.69,2023-01-24,11.11,11,2
전라,콩,채소,비료,B,아니오,2020,1.0,3,13948.69,2023-08-23,22.41,4,2
충청,고구마,곡물,경작,B,아니오,2019,22.0,2,35208.34,2023-02-15,23.7,10,0
강원,콩,곡물,비료,B,예,2024,10.0,2,15707.27,2023-02-05,19.24,7,0
서울경기,벼,곡물,비료,C,예,2019,24.0,2,30504.07,2023-06-11,13.5,3,0
강원,벼,곡물,경작,A,예,2024,22.0,2,27707.41,2023-04-09,12.13,19,0
서울경기,벼,곡물,비료,B,예,2024,14.0,2,65941.95,2023-05-22,20.48,4,0
강원,밀,과일,방제,A,예,2021,26.0,2,42817.87,2023-08-03,17.52,17,0
경상,감자,채소,경작,B,예,2018,14.0,2,38534.97,2023-06-20,26.67,4,1
강원,밀,곡물,비료,A,예,2018,27.0,1,78743.36,2023-05-16,19.74,6,0
강원,벼,채소,경작,C,아니오,2024,10.0,1,69981.61,2023-08-01,18.35,9,0
강원,벼,곡물,수확,C,아니오,2021,17.0,3,17894.01,2023-05-13,23.29,9,0
서울경기,벼,채소,수확,B,아니오,2023,26.0,2,99023.73,2023-05-30,15.96,14,0
강원,콩,곡물,수확,B,아니오,2022,4.0,2,26189.86,2023-11-27,19.65,4,1
강원,벼,채소,수확,A,예,2020,20.0,2,88232.65,2023-05-24,15.34,16,0
서울경기,콩,곡물,비료,B,예,2020,25.0,3,22306.23,2023-02-19,12.89,17,0
충청,감자,과일,수확,C,예,2020,16.0,3,49976.73,2023-05-30,24.75,11,1
경상,콩,채소,경작,B,아니오,2018,15.0,2,42140.93,2023-05-27,18.93,13,1
강원,콩,채소,비료,C,아니오,2018,8.0,3,20459.03,2023-06-01,13.23,15,0
서울경기,콩,곡물,경작,C,아니오,2020,13.0,1,84820.88,2023-06-04,12.05,6,0
서울경기,밀,과일,수확,A,예,2019,16.0,2,62842.62,2023-08-04,13.65,3,0
충청,고구마,곡물,경작,A,예,2019,14.0,2,70709.97,2023-03-05,18.39,16,0
서울경기,콩,채소,경작,C,예,2021,16.0,3,19631.05,2023-07-18,23.25,7,0
서울경기,벼,곡물,경작,A,예,2018,27.0,2,83936.88,2023-05-21,17.94,13,0
충청,벼,곡물,방제,B,아니오,2019,16.0,1,55540.75,2023-08-18,22.84,5,0
강원,밀,과일,경작,B,아니오,2020,15.0,2,56297.8,2023-06-17,24.97,11,0
서울경기,밀,곡물,경작,B,예,2024,8.0,2,59114.97,2023-05-02,15.28,14,0
전라,밀,곡물,수확,B,예,2021,6.0,2,15116.78,2023-05-31,17.33,3,1
서울경기,콩,곡물,수확,A,예,2023,7.0,2,39926.69,2023-06-23,14.06,7,0
충청,고구마,곡물,비료,B,아니오,2020,14.0,2,51661.4,2023-03-26,22.95,15,0
서울경기,밀,과일,경작,B,아니오,2019,26.0,3,75935.68,2023-04-11,23.78,7,0
강원,벼,곡물,방제,B,아니오,2024,16.0,3,79283.27,2023-06-17,22.83,14,0
강원,감자,채소,경작,C,예,2019,17.0,4,43879.62,2023-08-22,29.13,15,1
강원,고구마,곡물,비료,B,예,2023,20.0,3,64328.87,2023-03-18,24.26,10,0
전라,벼,채소,비료,B,예,2023,17.0,3,56888.76,2023-08-16,12.62,11,0
충청,감자,채소,수확,C,예,2023,5.0,3,52819.68,2023-10-12,16.86,7,1
강원,콩,곡물,비료,B,아니오,2018,9.0,3,15428.29,2023-11-07,19.85,6,1
강원,콩,곡물,비료,B,예,2021,19.0,3,19913.96,2023-05-10,17.62,4,0
충청,고구마,곡물,경작,B,예,2023,14.0,1,26080.96,2023-02-15,12.58,10,0
충청,콩,곡물,경작,A,예,2020,16.0,1,45130.65,2023-06-07,24.15,5,0
전라,감자,과일,비료,A,예,2022,6.0,2,23674.32,2023-11-04,25.08,4,1
서울경기,벼,채소,방제,A,예,2019,11.0,2,41767.36,2023-05-03,24.47,19,0
서울경기,밀,곡물,수확,A,아니오,2024,27.0,1,91221.25,2023-02-01,20.66,11,0
충청,콩,곡물,비료,A,아니오,2022,17.0,3,53908.93,2023-03-20,13.51,14,0
강원,콩,과일,경작,B,예,2020,19.0,1,78297.77,2023-05-27,21.43,18,0
충청,콩,채소,경작,B,아니오,2022,9.0,3,31077.2,2023-06-19,18.37,3,0
강원,콩,채소,방제,A,아니오,2023,15.0,3,47475.09,2023-03-28,14.49,9,0
강원,콩,채소,경작,A,예,2018,27.0,3,96142.56,2023-04-10,13.95,7,0
강원,벼,과일,경작,B,아니오,2024,25.0,1,35538.76,2023-03-11,17.88,5,0
전라,콩,채소,수확,B,아니오,2019,13.0,3,12494.89,2023-09-08,20.88,16,1
충청,감자,채소,경작,A,아니오,2018,21.0,3,43284.77,2023-04-16,22.89,17,0
서울경기,벼,채소,비료,B,아니오,2019,16.0,3,73887.06,2023-06-24,16.82,17,0
강원,밀,곡물,경작,B,아니오,2022,17.0,1,87597.39,2023-08-13,17.85,17,0
서울경기,벼,곡물,방제,A,아니오,2023,7.0,3,25771.39,2023-06-19,15.47,3,0
전라,밀,곡물,수확,C,아니오,2021,18.0,3,57646.64,2023-05-22,13.66,15,0
서울경기,고구마,과일,비료,C,아니오,2023,16.0,1,29743.57,2023-08-15,13.0,11,0
경상,밀,곡물,수확,C,예,2021,27.0,2,16685.78,2023-03-23,24.1,17,0
충청,고구마,과일,경작,C,예,2020,29.0,3,38202.07,2023-08-28,15.11,11,0
강원,밀,곡물,비료,A,아니오,2023,17.0,1,57856.13,2023-08-25,24.85,11,0
경상,고구마,곡물,수확,C,아니오,2022,21.0,2,58438.26,2023-11-30,21.77,11,1
서울경기,벼,과일,경작,A,아니오,2024,23.0,1,97903.15,2023-04-03,22.35,18,0
전라,감자,곡물,비료,B,예,2018,12.0,2,70690.67,2023-07-05,19.01,8,0
충청,고구마,과일,경작,C,예,2024,18.0,3,92791.19,2023-08-08,19.69,10,0
충청,벼,과일,방제,B,아니오,2023,9.0,3,80124.48,2023-06-27,18.52,11,0
경상,벼,과일,수확,A,아니오,2023,17.0,3,42577.33,2023-08-19,18.48,7,0
충청,콩,곡물,비료,A,아니오,2019,11.0,3,60945.92,2023-03-27,14.04,5,0
전라,벼,곡물,방제,A,예,2020,16.0,2,27587.13,2023-05-13,17.18,7,0
강원,콩,채소,방제,B,예,2023,16.0,2,62469.14,2023-07-30,20.66,11,1
전라,감자,과일,비료,A,예,2020,12.0,3,38650.26,2023-09-12,15.41,3,1
강원,벼,곡물,비료,A,예,2021,26.0,3,37812.35,2023-06-12,12.58,18,0
서울경기,콩,곡물,경작,B,예,2018,17.0,2,15382.11,2023-05-22,22.28,15,0
전라,밀,곡물,비료,A,아니오,2019,22.0,1,53935.83,2023-05-01,16.18,8,0
경상,벼,곡물,경작,B,아니오,2022,18.0,1,20855.23,2023-03-07,18.66,12,0
전라,벼,과일,비료,C,아니오,2019,18.0,1,46599.45,2023-08-30,24.8,8,0
전라,고구마,곡물,경작,A,아니오,2022,16.0,1,33727.61,2023-07-18,20.61,11,0
경상,콩,곡물,경작,B,예,2024,26.0,2,97861.02,2023-07-04,18.2,3,0
충청,콩,곡물,비료,B,예,2019,14.0,2,63695.95,2023-03-26,18.34,8,0
전라,벼,곡물,경작,B,예,2018,25.0,2,69016.76,2023-08-14,18.22,10,0
서울경기,벼,곡물,경작,B,아니오,2024,24.0,3,36504.59,2023-08-02,22.1,4,0
강원,밀,곡물,수확,C,아니오,2022,18.0,1,47098.56,2023-07-29,18.08,12,0
충청,감자,곡물,방제,A,예,2021,16.0,2,23549.75,2023-05-02,20.5,3,1
경상,콩,과일,경작,B,예,2019,25.0,2,33572.01,2023-03-26,13.33,18,0
서울경기,벼,곡물,경작,C,아니오,2018,23.0,1,27811.01,2023-05-17,21.83,17,0
강원,콩,곡물,경작,A,예,2021,21.0,2,37680.34,2023-05-30,20.85,7,0
강원,콩,채소,수확,C,아니오,2024,14.0,4,30298.86,2023-11-27,26.34,16,1
강원,감자,곡물,비료,B,예,2021,11.0,2,15380.68,2023-06-10,15.18,8,0
전라,밀,곡물,수확,C,아니오,2023,8.0,3,8816.97,2023-07-15,21.17,3,1
경상,고구마,과일,경작,A,아니오,2020,7.0,3,34732.35,2023-08-23,20.92,10,1
충청,콩,채소,비료,C,예,2024,21.0,3,28021.62,2023-07-17,22.0,12,1
전라,콩,채소,경작,B,아니오,2020,9.0,2,21619.65,2023-12-28,23.21,6,2
충청,벼,곡물,경작,C,아니오,2023,21.0,3,64027.71,2023-10-16,17.7,12,1
서울경기,콩,채소,방제,C,예,2020,23.0,1,67614.38,2023-02-23,20.54,14,0
전라,콩,곡물,경작,A,예,2020,12.0,1,45171.22,2023-04-07,23.48,13,0
경상,밀,채소,경작,A,예,2018,20.0,2,20005.85,2023-07-12,13.32,6,0
서울경기,벼,채소,비료,C,예,2023,14.0,3,19434.12,2023-07-10,21.21,15,0
전라,콩,과일,비료,B,아니오,2022,4.0,3,16434.38,2023-03-11,15.45,3,2
서울경기,감자,과일,방제,B,아니오,2018,27.0,1,88580.55,2023-04-08,17.6,11,0
전라,감자,곡물,수확,B,아니오,2022,15.0,2,28022.42,2023-08-22,23.14,8,1
충청,밀,채소,비료,A,예,2020,10.0,3,62117.67,2023-02-26,15.29,10,0
경상,콩,채소,수확,B,아니오,2024,10.0,3,65969.0,2023-11-01,22.84,15,1
강원,콩,과일,방제,A,예,2020,7.0,3,49847.58,2023-10-22,16.43,16,1
경상,벼,곡물,경작,B,아니오,2022,17.0,3,39624.71,2023-08-13,13.87,13,0
서울경기,고구마,곡물,비료,A,예,2018,23.0,3,24671.99,2023-07-11,24.58,17,0
강원,벼,채소,경작,B,예,2022,9.0,2,15332.17,2023-05-18,16.99,15,0
경상,벼,채소,경작,C,아니오,2024,14.0,2,12821.07,2023-04-01,23.49,12,0
서울경기,밀,곡물,비료,A,예,2021,18.0,2,63908.35,2023-04-15,22.59,18,0
충청,감자,곡물,수확,B,예,2020,9.0,3,50578.57,2023-03-05,23.36,17,0
충청,콩,채소,방제,A,아니오,2020,18.0,4,8529.51,2023-09-25,26.51,15,1
강원,감자,곡물,수확,A,아니오,2024,24.0,1,60566.73,2023-05-01,18.07,11,0
전라,벼,곡물,수확,B,아니오,2018,11.0,3,73146.16,2023-08-30,15.91,4,0
서울경기,벼,과일,경작,C,아니오,2021,22.0,2,55458.5,2023-03-17,16.02,15,0
충청,콩,곡물,경작,C,예,2024,16.0,1,46104.37,2023-03-19,13.65,13,0
서울경기,벼,채소,경작,C,예,2023,27.0,1,56807.18,2023-07-21,18.82,5,0
충청,감자,곡물,방제,B,예,2022,10.0,3,97124.3,2023-05-21,14.37,17,0
강원,밀,채소,수확,C,예,2019,16.0,2,35567.18,2023-06-19,17.78,15,1
충청,밀,과일,방제,A,예,2023,2.0,3,13075.84,2023-09-22,18.34,5,2
강원,콩,과일,비료,A,예,2018,7.0,3,75879.43,2023-04-13,20.47,19,0
충청,밀,과일,경작,A,예,2023,20.0,2,48860.72,2023-02-21,14.67,9,0
강원,감자,채소,방제,B,예,2018,28.0,2,12034.4,2023-08-27,23.41,16,0
전라,고구마,채소,방제,C,예,2023,3.0,1,26474.35,2023-06-01,18.51,7,2
경상,밀,곡물,경작,C,아니오,2019,24.0,3,75097.15,2023-07-28,15.62,13,0
강원,콩,곡물,방제,C,아니오,2023,4.0,2,3650.53,2023-02-06,21.38,8,2
강원,감자,과일,수확,B,아니오,2023,7.0,4,68484.79,2023-08-02,26.57,5,1
서울경기,벼,과일,경작,B,아니오,2024,17.0,1,93650.56,2023-02-16,19.55,12,0
전라,콩,곡물,경작,B,예,2022,28.0,1,33266.29,2023-05-16,13.47,3,0
서울경기,벼,채소,경작,A,아니오,2021,28.0,1,85598.29,2023-02-07,24.94,4,0
충청,콩,곡물,경작,C,예,2018,14.0,1,79600.92,2023-05-17,12.94,13,0
충청,벼,채소,방제,C,예,2020,4.0,1,24469.36,2023-10-08,12.71,11,2
전라,밀,채소,수확,C,예,2021,17.0,3,57722.65,2023-05-06,25.36,7,1
서울경기,벼,곡물,비료,B,예,2018,29.0,2,96269.21,2023-07-22,16.86,7,0
충청,감자,채소,수확,A,예,2022,28.0,1,76768.64,2023-08-17,14.75,6,0
전라,벼,채소,경작,A,예,2019,13.0,2,87595.9,2023-04-10,16.77,15,0
충청,고구마,채소,방제,B,아니오,2023,10.0,3,26350.79,2023-03-22,15.08,2,2
전라,벼,곡물,수확,B,아니오,2019,21.0,3,21464.59,2023-08-22,19.85,5,1
강원,콩,채소,비료,C,아니오,2022,14.0,1,69720.73,2023-06-13,16.78,18,0
충청,콩,곡물,경작,A,아니오,2023,28.0,1,12261.1,2023-06-08,14.78,16,0
강원,고구마,채소,방제,B,아니오,2024,12.0,1,3202.36,2023-08-18,16.11,12,2
강원,콩,채소,수확,A,아니오,2020,29.0,2,27215.55,2023-04-24,24.12,9,0
전라,감자,채소,비료,A,아니오,2023,18.0,1,65340.89,2023-06-13,12.51,17,0
경상,감자,채소,수확,C,아니오,2024,14.0,4,67506.85,2023-06-03,26.33,13,1
강원,밀,곡물,경작,A,아니오,2019,27.0,2,50602.11,2023-07-26,16.35,9,0
서울경기,벼,곡물,경작,C,아니오,2023,16.0,2,29249.72,2023-06-12,18.93,7,0
서울경기,밀,곡물,수확,C,예,2022,27.0,1,60749.25,2023-02-17,20.93,19,0
서울경기,고구마,채소,경작,C,예,2020,29.0,2,78018.07,2023-02-21,17.61,15,0
강원,콩,곡물,수확,A,아니오,2022,7.0,1,90589.86,2023-02-04,12.57,13,0
경상,감자,채소,방제,C,아니오,2018,2.0,1,22821.58,2023-10-09,18.8,3,2
서울경기,밀,채소,방제,B,아니오,2018,25.0,2,70911.23,2023-07-30,13.09,19,0
전라,감자,곡물,비료,B,아니오,2024,9.0,1,22530.24,2023-04-01,23.95,18,0
강원,고구마,채소,비료,A,예,2021,1.0,1,15573.95,2023-08-22,17.41,11,2
충청,감자,채소,수확,C,아니오,2024,5.0,4,19334.9,2023-09-02,20.44,11,1
충청,콩,곡물,방제,B,예,2021,16.0,3,91840.47,2023-06-27,13.41,19,0
서울경기,밀,곡물,비료,B,아니오,2022,17.0,2,16532.75,2023-08-06,13.98,9,0
강원,고구마,곡물,수확,C,아니오,2021,20.0,3,75374.17,2023-04-09,22.34,14,0
충청,벼,과일,수확,A,아니오,2019,9.0,3,39717.5,2023-06-12,19.23,10,0
서울경기,고구마,채소,경작,B,아니오,2022,16.0,2,81069.43,2023-02-18,17.78,8,0
서울경기,감자,채소,수확,B,아니오,2024,29.0,3,12264.1,2023-03-29,24.42,18,0
충청,콩,곡물,비료,B,아니오,2018,16.0,1,97562.81,2023-08-08,19.41,12,0
충청,밀,곡물,방제,B,예,2019,16.0,2,44718.78,2023-04-22,21.64,19,0
서울경기,고구마,채소,수확,A,예,2018,28.0,3,60903.31,2023-08-03,24.46,4,0
강원,벼,곡물,수확,A,아니오,2019,19.0,1,22483.19,2023-05-27,23.72,18,0
경상,고구마,채소,수확,A,아니오,2018,10.0,2,16576.56,2023-07-10,14.5,6,2
충청,감자,채소,경작,B,아니오,2019,28.0,3,77025.51,2023-06-27,17.37,13,0
충청,고구마,곡물,수확,A,아니오,2020,24.0,2,12760.19,2023-08-09,12.09,9,0
전라,밀,곡물,비료,C,아니오,2018,17.0,1,61600.44,2023-07-20,16.63,10,0
서울경기,감자,과일,비료,B,예,2024,11.0,3,99669.67,2023-02-13,13.72,6,0
강원,감자,과일,비료,C,예,2020,19.0,3,79512.19,2023-07-15,12.9,17,0
충청,콩,곡물,방제,B,아니오,2020,28.0,2,15997.72,2023-02-01,23.49,16,0
전라,고구마,과일,방제,A,아니오,2021,6.0,3,45382.33,2023-06-13,25.87,12,1
서울경기,감자,과일,방제,A,예,2018,18.0,1,21152.41,2023-03-31,18.06,4,2
강원,밀,과일,경작,B,예,2019,16.0,2,57832.59,2023-05-01,16.3,17,0
강원,벼,곡물,방제,A,아니오,2021,24.0,1,63017.28,2023-04-28,17.57,11,0
강원,고구마,채소,경작,B,아니오,2020,16.0,2,37153.7,2023-06-12,22.81,12,1
충청,감자,과일,비료,B,아니오,2020,27.0,3,92145.5,2023-05-26,15.01,16,0
서울경기,밀,채소,경작,B,아니오,2018,7.0,3,13136.56,2023-11-26,13.8,8,2
서울경기,감자,채소,비료,C,아니오,2020,22.0,3,69846.07,2023-03-19,15.58,5,0
강원,감자,곡물,방제,B,예,2022,18.0,2,75586.18,2023-07-29,18.96,14,0
충청,콩,채소,방제,C,아니오,2022,2.0,2,19993.41,2023-02-05,20.51,8,2
충청,콩,과일,방제,A,아니오,2019,22.0,2,23477.63,2023-09-04,19.21,9,1
서울경기,콩,채소,경작,B,아니오,2021,28.0,1,86243.0,2023-03-13,20.69,9,0
서울경기,감자,채소,비료,C,예,2022,21.0,4,21277.57,2023-09-28,18.46,9,1
충청,벼,곡물,비료,A,아니오,2023,27.0,2,14946.18,2023-08-24,18.51,9,0
강원,밀,곡물,수확,B,예,2020,16.0,2,33067.7,2023-05-25,23.32,5,0
서울경기,콩,곡물,비료,A,아니오,2023,13.0,1,62422.09,2023-06-27,21.29,17,0
서울경기,감자,채소,방제,B,아니오,2020,17.0,3,51443.88,2023-02-13,21.77,16,0
충청,벼,곡물,비료,C,예,2021,8.0,2,37653.19,2023-06-29,17.92,16,0
서울경기,콩,과일,수확,A,예,2019,9.0,3,40485.32,2023-03-23,12.62,8,0
강원,콩,채소,수확,B,예,2024,12.0,2,91680.28,2023-06-25,16.62,6,0
경상,벼,과일,수확,A,아니오,2021,18.0,4,15059.14,2023-09-13,17.8,4,1
서울경기,콩,채소,방제,A,아니오,2018,28.0,3,80015.16,2023-06-04,20.38,16,0
충청,감자,과일,경작,C,예,2019,4.0,3,6010.99,2023-09-15,22.25,4,1
강원,밀,곡물,수확,C,아니오,2023,26.0,1,49909.05,2023-07-09,14.57,13,0
충청,밀,채소,수확,A,아니오,2024,19.0,3,61977.15,2023-02-08,24.64,11,0
서울경기,감자,과일,방제,C,아니오,2023,13.0,3,53775.94,2023-03-10,20.94,11,0
서울경기,벼,채소,방제,B,아니오,2018,28.0,1,96255.27,2023-06-05,18.01,3,0
충청,고구마,곡물,비료,C,예,2018,26.0,1,16972.67,2023-05-01,16.33,10,0
경상,고구마,과일,경작,B,아니오,2021,8.0,3,83313.15,2023-03-09,23.21,16,0
서울경기,콩,과일,수확,C,아니오,2021,12.0,3,19264.69,2023-02-11,18.57,19,0
강원,콩,곡물,경작,A,예,2023,15.0,2,19213.62,2023-03-04,13.23,19,0
전라,감자,곡물,경작,B,아니오,2019,18.0,3,88576.16,2023-08-13,18.67,19,0
강원,밀,채소,비료,B,예,2019,13.0,1,67738.16,2023-02-21,13.73,6,0
충청,감자,채소,경작,A,아니오,2020,8.0,3,97013.33,2023-08-26,22.9,5,0
전라,고구마,곡물,경작,B,예,2020,16.0,2,59426.23,2023-05-05,17.82,17,0
서울경기,감자,채소,비료,C,아니오,2024,18.0,2,50476.89,2023-02-26,17.73,18,0
전라,벼,과일,수확,A,예,2024,16.0,4,38965.08,2023-06-01,25.24,15,1
충청,벼,곡물,경작,A,아니오,2020,8.0,1,41132.55,2023-03-08,23.37,14,0
충청,감자,곡물,수확,A,아니오,2018,19.0,4,24277.52,2023-11-06,21.98,11,1
강원,감자,곡물,수확,C,아니오,2024,16.0,2,17401.61,2023-07-07,13.12,18,0
강원,밀,곡물,경작,B,예,2024,28.0,2,43681.37,2023-03-16,15.94,15,0
경상,벼,곡물,경작,C,예,2021,22.0,2,68292.11,2023-02-07,14.33,4,0
충청,고구마,채소,수확,B,예,2024,7.0,4,31312.49,2023-09-29,28.19,12,1
전라,콩,곡물,경작,C,예,2020,20.0,4,28813.36,2023-07-14,19.62,10,1
강원,감자,과일,수확,B,예,2021,6.0,4,55445.96,2023-08-09,29.05,9,1
강원,밀,채소,비료,C,아니오,2020,21.0,1,48825.19,2023-06-11,19.04,19,0
전라,콩,곡물,수확,A,예,2022,14.0,3,61608.29,2023-11-29,27.77,10,1
전라,감자,채소,비료,B,아니오,2021,26.0,3,55096.19,2023-07-25,19.95,16,0
전라,밀,곡물,방제,A,예,2018,27.0,1,30943.27,2023-05-22,24.98,12,0
충청,고구마,곡물,수확,B,아니오,2019,17.0,1,52602.28,2023-08-29,22.08,10,0
충청,고구마,곡물,경작,C,예,2021,15.0,1,16354.29,2023-02-12,24.89,7,0
충청,밀,곡물,수확,C,아니오,2024,14.0,1,95014.82,2023-07-16,19.14,19,0
강원,벼,채소,수확,B,아니오,2018,20.0,3,31675.4,2023-11-28,26.69,7,1
경상,콩,채소,방제,C,아니오,2019,4.0,2,4874.01,2023-03-13,21.23,9,2
서울경기,고구마,곡물,수확,B,아니오,2018,27.0,1,14785.39,2023-07-28,19.18,3,0
경상,벼,곡물,비료,C,아니오,2020,14.0,4,59964.91,2023-09-19,29.9,3,1
서울경기,벼,채소,수확,B,아니오,2021,10.0,2,33100.81,2023-05-07,23.01,4,0
서울경기,벼,채소,수확,B,아니오,2020,23.0,2,29923.18,2023-05-31,23.37,19,0
서울경기,밀,곡물,경작,B,아니오,2019,9.0,3,21920.73,2023-07-27,15.83,4,0
경상,벼,곡물,수확,B,아니오,2022,29.0,2,95898.16,2023-02-11,17.97,8,0
충청,콩,과일,경작,A,예,2022,27.0,1,42870.13,2023-02-22,18.51,10,0
강원,콩,과일,비료,C,아니오,2024,7.0,3,91433.26,2023-04-04,22.13,18,0
강원,밀,과일,경작,A,아니오,2019,16.0,2,86712.14,2023-03-17,22.89,11,0
강원,벼,곡물,수확,C,예,2019,26.0,3,12219.0,2023-04-22,21.61,18,0
서울경기,벼,곡물,비료,C,아니오,2022,16.0,2,73019.74,2023-08-18,14.14,4,0
강원,밀,채소,경작,C,예,2024,9.0,3,86666.94,2023-05-05,24.97,8,0
강원,콩,채소,경작,B,예,2021,7.0,3,69329.99,2023-06-07,23.65,5,1
서울경기,벼,곡물,비료,C,예,2022,21.0,2,43798.98,2023-05-17,13.53,13,0
강원,감자,채소,비료,A,아니오,2020,25.0,2,35081.05,2023-04-22,18.48,7,0
전라,밀,곡물,방제,A,예,2023,9.0,2,79440.76,2023-08-14,19.25,8,0
충청,콩,곡물,비료,B,예,2024,28.0,1,56964.94,2023-05-04,12.95,18,0
충청,벼,곡물,경작,B,예,2019,16.0,3,84481.88,2023-06-29,20.78,10,0
서울경기,콩,곡물,방제,B,예,2023,14.0,4,11409.53,2023-10-13,19.36,9,1
전라,밀,곡물,경작,A,아니오,2024,13.0,3,27228.19,2023-04-29,13.01,5,0
강원,벼,채소,방제,A,예,2018,28.0,3,96423.92,2023-02-03,22.86,16,0
강원,고구마,채소,수확,A,아니오,2022,5.0,3,34680.44,2023-11-09,22.62,4,1
충청,벼,과일,수확,C,아니오,2024,16.0,2,54597.48,2023-05-24,19.73,10,0
강원,벼,채소,경작,A,예,2022,18.0,3,71029.1,2023-08-12,16.0,12,0
경상,벼,과일,경작,C,아니오,2023,8.0,3,50051.13,2023-05-23,19.87,10,1
충청,밀,채소,경작,A,아니오,2018,14.0,2,17682.23,2023-03-11,21.54,3,0
충청,콩,곡물,수확,A,예,2024,14.0,3,29901.15,2023-02-06,22.15,9,0
강원,콩,과일,경작,B,아니오,2020,18.0,3,81172.96,2023-03-05,21.75,14,0
충청,고구마,곡물,방제,A,예,2021,18.0,2,71669.96,2023-08-09,14.59,7,0
전라,벼,채소,비료,A,예,2019,8.0,3,35563.49,2023-02-17,24.07,12,0
서울경기,고구마,과일,방제,A,예,2023,13.0,2,5412.62,2023-11-28,15.6,8,2
서울경기,고구마,채소,수확,B,아니오,2024,3.0,4,57155.29,2023-11-18,25.85,11,1
강원,콩,채소,방제,B,아니오,2023,15.0,3,23983.43,2023-08-17,28.31,15,1
충청,콩,채소,비료,B,예,2019,9.0,3,55124.12,2023-03-12,18.61,4,0
경상,벼,곡물,경작,C,예,2019,17.0,3,72410.95,2023-07-09,24.96,8,0
서울경기,밀,채소,경작,B,예,2019,23.0,1,17376.9,2023-05-19,19.27,13,0
충청,벼,곡물,비료,B,예,2019,23.0,1,60068.6,2023-06-24,15.62,16,0
경상,콩,곡물,경작,A,예,2021,28.0,3,21812.63,2023-02-11,20.55,9,0
전라,고구마,과일,방제,C,아니오,2022,15.0,1,28086.61,2023-07-21,22.5,8,2
