사고년도,가해자성별,가해자연령,가해차종,가해자신체상해정도,피해자성별,피해자연령,피해차종,피해자신체상해정도,사고유형,가해자법규위반,기상상태,시각,사건번호
2018,남,27세,이륜차,상해없음,남,65세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2018-03-20_14시,ID_4942
2018,여,60세,승용차,상해없음,남,74세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2018-02-27_10시,ID_5281
2019,남,49세,승용차,상해없음,여,13세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2019-10-27_12시,ID_6687
2016,여,42세,승용차,상해없음,남,75세,자전거,중상,차대차 - 정면충돌,안전운전불이행,맑음,2016-12-02_16시,ID_3329
2017,남,65세,승용차,상해없음,남,75세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2017-03-14_15시,ID_4731
2015,남,63세,승합차,상해없음,여,59세,자전거,중상,차대차 - 추돌 - 진행중,안전운전불이행,맑음,2015-10-23_20시,ID_459
2016,남,56세,승용차,상해없음,남,11세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-03-16_14시,ID_3391
2016,남,20세,이륜차,상해없음,남,21세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-05-20_18시,ID_2282
2018,여,55세,승용차,상해없음,남,11세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2018-10-23_17시,ID_4949
2015,남,37세,승용차,상해없음,여,50세,자전거,경상,차대차 - 측면직각충돌,중앙선침범,맑음,2015-02-02_8시,ID_458
2020,남,41세,승용차,상해없음,여,59세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2020-03-06_15시,ID_6832
2016,남,64세,승합차,상해없음,남,36세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-08-24_8시,ID_3517
2019,남,24세,승용차,상해없음,여,54세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2019-05-14_20시,ID_6457
2016,남,25세,이륜차,상해없음,남,26세,자전거,경상,차대차 - 정면충돌,안전운전불이행,맑음,2016-05-28_17시,ID_3124
2018,남,65세,승용차,상해없음,여,30세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2018-09-27_15시,ID_4961
2018,남,50세,승용차,상해없음,남,51세,자전거,경상,차대차 - 기타,교차로통행방법위반,맑음,2018-01-31_19시,ID_4978
2018,여,56세,승용차,상해없음,여,63세,자전거,중상,차대차 - 측면충돌,교차로통행방법위반,맑음,2018-09-30_9시,ID_5752
2017,남,58세,승용차,상해없음,여,65세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2017-12-01_17시,ID_4711
2015,여,37세,자전거,상해없음,여,47세,보행자,경상,차대사람 - 횡단중,안전운전불이행,맑음,2015-11-03_15시,ID_500
2017,남,29세,자전거,상해없음,여,69세,보행자,경상,차대사람 - 보도통행중,기타,맑음,2017-07-05_9시,ID_3707
2015,남,59세,이륜차,상해없음,여,57세,자전거,경상,차대차 - 측면직각충돌,신호위반,맑음,2015-06-27_17시,ID_514
2019,남,41세,승용차,상해없음,남,51세,자전거,중상,차대차 - 기타,신호위반,흐림,2019-09-07_7시,ID_6826
2016,남,24세,승용차,상해없음,남,15세,자전거,중상,차대차 - 추돌 - 진행중,안전운전불이행,맑음,2016-03-09_21시,ID_2902
2015,남,56세,자전거,상해없음,남,45세,보행자,경상,차대사람 - 보도통행중,안전운전불이행,맑음,2015-08-08_23시,ID_369
2015,남,12세,자전거,경상,여,19세,보행자,경상,차대사람 - 보도통행중,안전운전불이행,맑음,2015-08-26_20시,ID_1058
2015,여,52세,승용차,상해없음,여,53세,자전거,경상,차대차 - 추돌 - 진행중,안전운전불이행,맑음,2015-03-23_7시,ID_788
2015,남,17세,자전거,상해없음,남,59세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2015-05-04_17시,ID_1662
2016,남,13세,자전거,부상신고,여,35세,자전거,중상,차대차 - 측면직각충돌,안전거리미확보,맑음,2016-03-12_18시,ID_2513
2016,여,19세,자전거,상해없음,여,60세,보행자,경상,차대사람 - 보도통행중,기타,맑음,2016-04-24_22시,ID_2571
2015,남,46세,화물차,상해없음,남,59세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2015-10-29_7시,ID_1953
2015,남,57세,승용차,상해없음,남,41세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2015-02-11_8시,ID_1206
2016,남,72세,승용차,상해없음,남,16세,자전거,경상,차대차 - 측면직각충돌,기타,맑음,2016-05-30_8시,ID_2352
2015,남,16세,자전거,부상신고,여,46세,보행자,중상,차대사람 - 기타,중앙선침범,맑음,2015-10-20_7시,ID_1132
2019,남,74세,승용차,상해없음,남,26세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2019-11-26_11시,ID_5927
2016,남,20세,자전거,상해없음,여,9세,보행자,경상,차대사람 - 기타,안전운전불이행,맑음,2016-09-14_17시,ID_2777
2016,여,46세,승용차,기타불명,남,55세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-04-20_19시,ID_2580
2017,남,44세,자전거,상해없음,남,41세,이륜차,경상,차대차 - 측면충돌,불법유턴,맑음,2017-12-23_21시,ID_4595
2017,남,57세,승용차,상해없음,남,72세,자전거,경상,차대차 - 정면충돌,안전운전불이행,맑음,2017-02-05_11시,ID_4169
2020,여,36세,자전거,상해없음,여,46세,보행자,중상,차대사람 - 보도통행중,기타,맑음,2020-09-29_11시,ID_7026
2020,남,67세,승용차,상해없음,남,16세,자전거,경상,차대차 - 측면충돌,신호위반,맑음,2020-02-10_19시,ID_7452
2020,남,57세,이륜차,상해없음,남,54세,자전거,경상,차대차 - 기타,신호위반,맑음,2020-09-09_0시,ID_7101
2018,남,37세,승용차,상해없음,남,53세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2018-04-02_19시,ID_4989
2017,남,32세,이륜차,상해없음,남,19세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2017-12-31_20시,ID_4305
2017,남,57세,자전거,상해없음,여,33세,보행자,경상,차대사람 - 보도통행중,기타,맑음,2017-06-02_14시,ID_3801
2017,남,59세,이륜차,상해없음,남,24세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2017-02-28_16시,ID_4005
2016,남,44세,승용차,상해없음,남,19세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-10-24_18시,ID_2879
2015,남,73세,원동기장치자전거,상해없음,남,57세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2015-06-25_9시,ID_1915
2020,남,67세,승용차,상해없음,남,62세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2020-07-15_12시,ID_7756
2015,남,52세,승합차,상해없음,여,62세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,2015-02-07_15시,ID_855
2019,남,50세,승용차,상해없음,남,11세,자전거,경상,차대차 - 기타,기타,맑음,2019-11-04_17시,ID_6274
2017,남,14세,자전거,상해없음,여,66세,보행자,경상,차대사람 - 길가장자리구역통행중,안전운전불이행,맑음,2017-03-13_16시,ID_4391
2015,남,37세,승용차,상해없음,남,16세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2015-09-01_17시,ID_1356
2020,여,30세,자전거,기타불명,남,14세,보행자,경상,차대사람 - 보도통행중,안전운전불이행,맑음,2020-05-22_19시,ID_7665
2015,여,46세,승용차,상해없음,남,73세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2015-10-25_10시,ID_852
2016,남,31세,승용차,상해없음,남,12세,자전거,경상,차대차 - 정면충돌,안전운전불이행,맑음,2016-01-26_20시,ID_3168
2020,남,39세,화물차,상해없음,남,71세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2020-12-19_9시,ID_7267
2015,남,46세,승용차,상해없음,남,26세,자전거,중상,차대차 - 측면직각충돌,기타,맑음,2015-08-29_23시,ID_324
2015,남,51세,승용차,상해없음,남,73세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2015-09-21_16시,ID_1212
2015,여,26세,승용차,상해없음,여,23세,자전거,중상,차대차 - 추돌 - 진행중,안전운전불이행,맑음,2015-11-26_23시,ID_54
2016,남,50세,자전거,상해없음,남,61세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-06-26_19시,ID_3266
2015,여,41세,승용차,상해없음,남,13세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2015-03-27_17시,ID_1543
2016,남,45세,승용차,상해없음,남,65세,자전거,경상,차대차 - 측면직각충돌,교차로운행방법위반,맑음,2016-05-20_9시,ID_2979
2016,여,42세,승용차,상해없음,남,13세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-06-06_15시,ID_2322
2018,남,26세,이륜차,상해없음,남,12세,자전거,경상,차대차 - 기타,신호위반,맑음,2018-10-19_16시,ID_5382
2015,남,34세,승용차,상해없음,남,53세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,2015-06-02_21시,ID_1863
2018,남,59세,승용차,상해없음,남,40세,자전거,경상,차대차 - 측면충돌,기타,맑음,2018-07-24_6시,ID_5282
2016,남,47세,승용차,상해없음,남,52세,자전거,중상,차대차 - 정면충돌,교차로운행방법위반,맑음,2016-06-23_22시,ID_2958
2016,남,51세,승용차,상해없음,여,54세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-01-15_16시,ID_2711
2018,남,74세,승용차,상해없음,여,30세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2018-06-27_17시,ID_5331
2016,여,41세,승용차,상해없음,여,70세,자전거,경상,차대차 - 측면직각충돌,신호위반,맑음,2016-08-23_9시,ID_3480
2015,여,40세,승용차,상해없음,남,56세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2015-08-13_14시,ID_1012
2016,남,58세,화물차,상해없음,남,76세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-12-07_12시,ID_3276
2020,남,75세,승용차,상해없음,남,46세,자전거,중상,차대차 - 측면충돌,신호위반,맑음,2020-07-18_5시,ID_7090
2015,남,86세,승용차,상해없음,여,64세,자전거,경상,차대차 - 측면직각충돌,신호위반,맑음,2015-05-19_16시,ID_1263
2018,남,64세,승용차,상해없음,여,82세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2018-07-13_10시,ID_5726
2020,남,59세,승용차,상해없음,남,58세,자전거,경상,차대차 - 기타,교차로통행방법위반,맑음,2020-10-14_6시,ID_6930
2018,남,27세,승용차,상해없음,여,28세,자전거,중상,차대차 - 측면충돌,신호위반,맑음,2018-07-13_17시,ID_5468
2020,남,39세,화물차,기타불명,남,62세,자전거,경상,차대차 - 측면충돌,신호위반,맑음,2020-10-17_19시,ID_6920
2015,남,30세,이륜차,상해없음,남,73세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2015-12-24_18시,ID_1966
2015,남,70세,승용차,상해없음,남,42세,자전거,경상,차대차 - 기타,기타,맑음,2015-06-18_19시,ID_40
2015,남,34세,승용차,상해없음,여,75세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2015-10-16_15시,ID_1088
2015,남,23세,자전거,상해없음,여,54세,보행자,경상,차대사람 - 보도통행중,안전운전불이행,맑음,2015-09-21_20시,ID_1063
2015,남,43세,화물차,상해없음,여,69세,자전거,중상,차대차 - 기타,기타,맑음,2015-05-15_15시,ID_652
2019,남,67세,화물차,상해없음,여,60세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2019-08-10_10시,ID_6201
2018,남,54세,승용차,상해없음,남,51세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2018-11-18_3시,ID_4890
2019,남,38세,승용차,상해없음,남,19세,자전거,경상,차대차 - 측면충돌,신호위반,맑음,2019-12-27_21시,ID_6526
2015,여,67세,승용차,상해없음,여,66세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,2015-01-06_8시,ID_755
2019,남,61세,승용차,상해없음,남,83세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2019-12-05_9시,ID_5854
2017,남,50세,화물차,상해없음,여,64세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2017-03-30_5시,ID_4730
2017,남,62세,승용차,상해없음,여,57세,자전거,경상,차대차 - 측면충돌,기타,맑음,2017-01-07_17시,ID_3700
2015,여,48세,승용차,상해없음,남,9세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2015-05-08_16시,ID_1559
2020,남,80세,이륜차,상해없음,여,33세,자전거,경상,차대차 - 측면충돌,신호위반,맑음,2020-12-18_11시,ID_7316
2017,남,37세,자전거,경상,남,30세,원동기장치자전거,경상,차대차 - 측면충돌,안전거리미확보,맑음,2017-10-21_14시,ID_3716
2017,남,33세,승용차,상해없음,남,55세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2017-07-11_17시,ID_4775
2015,남,61세,승용차,상해없음,남,8세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2015-07-02_14시,ID_414
2015,남,56세,승합차,상해없음,남,36세,자전거,중상,차대차 - 측면직각충돌,교차로운행방법위반,맑음,2015-09-12_13시,ID_1415
2015,여,58세,승용차,상해없음,여,11세,자전거,경상,차대차 - 정면충돌,안전운전불이행,맑음,2015-11-26_15시,ID_1979
2015,남,55세,승용차,상해없음,남,12세,자전거,경상,차대차 - 측면직각충돌,신호위반,맑음,2015-09-25_16시,ID_99
2018,남,45세,승용차,상해없음,남,12세,자전거,경상,차대차 - 측면충돌,기타,맑음,2018-10-02_14시,ID_4902
2017,남,17세,자전거,상해없음,남,67세,보행자,중상,차대사람 - 횡단중,안전운전불이행,맑음,2017-03-24_8시,ID_4106
2019,여,65세,승용차,상해없음,남,68세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2019-05-14_14시,ID_6196
2019,남,21세,이륜차,상해없음,남,27세,자전거,경상,차대차 - 기타,안전거리미확보,맑음,2019-06-08_12시,ID_6182
2019,남,45세,승용차,상해없음,남,24세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2019-07-31_17시,ID_6745
2015,남,58세,화물차,상해없음,남,62세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2015-03-31_13시,ID_46
2015,남,53세,승용차,상해없음,남,78세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2015-05-16_12시,ID_849
2018,남,61세,자전거,상해없음,남,30세,승용차,경상,차대차 - 기타,안전운전불이행,맑음,2018-10-25_16시,ID_5070
2019,여,34세,승용차,상해없음,여,59세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2019-01-09_9시,ID_6796
2020,남,43세,자전거,상해없음,여,68세,보행자,중상,차대사람 - 길가장자리구역통행중,안전운전불이행,맑음,2020-04-06_10시,ID_7041
2017,남,55세,화물차,상해없음,남,17세,자전거,경상,차대차 - 측면충돌,신호위반,맑음,2017-09-30_20시,ID_4606
2019,남,57세,승용차,상해없음,남,55세,자전거,중상,차대차 - 추돌,안전운전불이행,맑음,2019-08-31_17시,ID_5859
2020,남,63세,승용차,기타불명,여,51세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2020-04-07_12시,ID_7504
2017,남,74세,승용차,상해없음,남,11세,자전거,경상,차대차 - 기타,신호위반,맑음,2017-03-19_17시,ID_4031
2016,남,40세,승용차,상해없음,남,18세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2016-05-30_22시,ID_2586
2016,남,16세,자전거,상해없음,여,6세,보행자,경상,차대사람 - 기타,미분류,맑음,2016-10-18_8시,ID_3118
2019,남,38세,이륜차,경상,남,77세,자전거,중상,차대차 - 추돌,안전운전불이행,비,2019-07-28_15시,ID_6057
2020,여,59세,승용차,상해없음,여,65세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2020-02-19_13시,ID_7775
2017,남,33세,승용차,상해없음,여,62세,자전거,중상,차대차 - 측면충돌,안전운전불이행,비,2017-09-27_9시,ID_4586
2017,남,57세,자전거,기타불명,남,54세,보행자,경상,차대사람 - 기타,안전운전불이행,흐림,2017-12-30_20시,ID_3666
2017,여,57세,승용차,상해없음,남,20세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2017-12-23_8시,ID_4762
2020,남,13세,자전거,상해없음,남,24세,승용차,경상,차대차 - 측면충돌,중앙선침범,맑음,2020-06-02_17시,ID_7210
2016,남,51세,승용차,상해없음,남,54세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-10-21_18시,ID_2735
2020,남,22세,개인형이동수단(PM),부상신고,여,22세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2020-08-18_18시,ID_7065
2018,여,21세,승용차,상해없음,여,30세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2018-06-12_23시,ID_4929
2020,남,65세,승용차,상해없음,남,51세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2020-07-31_22시,ID_7184
2015,남,59세,승용차,상해없음,여,34세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,2015-09-30_16시,ID_1947
2018,여,45세,승용차,상해없음,남,14세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2018-02-08_18시,ID_5238
2015,남,57세,자전거,상해없음,남,68세,보행자,중상,차대사람 - 기타,안전운전불이행,맑음,2015-08-30_6시,ID_444
2016,남,50세,화물차,상해없음,남,60세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2016-08-04_20시,ID_2216
2015,남,35세,자전거,상해없음,남,20세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2015-08-01_10시,ID_395
2018,남,37세,자전거,부상신고,여,16세,보행자,경상,차대사람 - 기타,안전운전불이행,맑음,2018-07-25_22시,ID_5040
2016,남,38세,승용차,상해없음,남,53세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-05-13_9시,ID_3093
2020,남,67세,자전거,상해없음,남,53세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2020-05-28_20시,ID_7061
2016,남,49세,승용차,상해없음,남,61세,자전거,중상,차대차 - 정면충돌,안전운전불이행,맑음,2016-04-07_15시,ID_3328
2017,남,67세,승용차,상해없음,남,17세,자전거,경상,차대차 - 측면충돌,기타,맑음,2017-05-10_18시,ID_4187
2016,남,60세,화물차,상해없음,여,33세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-02-17_18시,ID_2940
2019,남,73세,승용차,상해없음,남,12세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2019-10-21_15시,ID_6105
2016,여,62세,자전거,상해없음,여,30세,보행자,경상,차대사람 - 기타,안전운전불이행,맑음,2016-11-28_9시,ID_2572
2020,남,46세,승용차,상해없음,남,63세,자전거,중상,차대차 - 추돌,안전운전불이행,흐림,2020-08-14_5시,ID_7217
2015,남,30세,승용차,상해없음,남,59세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2015-05-31_12시,ID_1301
2016,남,55세,화물차,상해없음,남,56세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-11-08_13시,ID_2918
2018,남,61세,승용차,상해없음,여,60세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2018-09-18_9시,ID_5215
2020,남,28세,자전거,경상,남,63세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2020-01-28_17시,ID_7153
2019,남,41세,승용차,상해없음,여,21세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2019-01-29_23시,ID_6096
2020,남,15세,자전거,부상신고,여,43세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2020-07-08_8시,ID_7166
2017,여,76세,승용차,상해없음,남,62세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2017-10-31_9시,ID_4315
2017,남,30세,승용차,상해없음,남,33세,자전거,경상,차대차 - 정면충돌,신호위반,맑음,2017-05-03_20시,ID_4527
2019,남,66세,승용차,상해없음,남,64세,자전거,중상,차대차 - 측면충돌,안전운전불이행,흐림,2019-12-22_11시,ID_6823
2018,남,47세,승용차,상해없음,남,73세,자전거,경상,차대차 - 측면충돌,기타,맑음,2018-04-07_16시,ID_5660
2019,남,23세,이륜차,상해없음,남,69세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2019-08-04_18시,ID_6226
2018,남,79세,승용차,상해없음,남,75세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2018-10-29_16시,ID_5169
2019,남,61세,승용차,상해없음,남,22세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2019-11-03_2시,ID_6434
2018,남,26세,승용차,상해없음,남,67세,자전거,중상,차대차 - 기타,신호위반,맑음,2018-06-21_21시,ID_5003
2019,남,30세,승용차,상해없음,여,76세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2019-08-24_6시,ID_6429
2018,남,32세,이륜차,부상신고,여,48세,자전거,경상,차대차 - 측면충돌,신호위반,맑음,2018-03-27_21시,ID_5243
2015,여,31세,승용차,상해없음,남,13세,자전거,중상,차대차 - 기타,교차로운행방법위반,맑음,2015-08-18_16시,ID_1331
2020,남,54세,승용차,상해없음,남,19세,자전거,경상,차대차 - 측면충돌,신호위반,맑음,2020-02-04_1시,ID_7597
2017,남,31세,승용차,상해없음,남,11세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2017-03-18_18시,ID_3729
2016,여,45세,승용차,상해없음,남,62세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-10-10_22시,ID_3450
2015,남,44세,승용차,상해없음,남,87세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,2015-03-29_7시,ID_1238
2015,남,26세,자전거,기타불명,남,25세,보행자,경상,차대사람 - 기타,안전운전불이행,맑음,2015-06-15_22시,ID_745
2019,남,61세,승합차,상해없음,여,33세,자전거,중상,차대차 - 측면충돌,신호위반,맑음,2019-06-22_9시,ID_6025
2015,남,24세,화물차,상해없음,여,71세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,흐림,2015-09-24_4시,ID_690
2016,남,41세,자전거,기타불명,여,63세,보행자,중상,차대사람 - 횡단중,안전운전불이행,맑음,2016-07-14_20시,ID_2446
2016,남,57세,승용차,상해없음,남,12세,자전거,경상,차대차 - 기타,안전운전불이행,비,2016-05-10_16시,ID_3509
2015,여,26세,승용차,상해없음,여,73세,자전거,경상,차대차 - 기타,교차로운행방법위반,맑음,2015-10-02_12시,ID_795
2017,남,23세,이륜차,부상신고,남,71세,자전거,중상,차대차 - 추돌,안전거리미확보,맑음,2017-08-08_5시,ID_3687
2015,남,58세,원동기장치자전거,상해없음,여,53세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,2015-04-22_13시,ID_226
2016,남,46세,승용차,상해없음,여,68세,자전거,중상,차대차 - 측면직각충돌,교차로운행방법위반,맑음,2016-05-30_6시,ID_2819
2015,남,21세,화물차,상해없음,여,60세,자전거,중상,차대차 - 기타,직진우회전진행방해,맑음,2015-02-17_12시,ID_1822
2020,남,73세,이륜차,상해없음,여,57세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2020-05-02_16시,ID_7325
2019,남,57세,승용차,상해없음,여,63세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2019-10-27_12시,ID_6825
2016,남,57세,승용차,상해없음,여,58세,자전거,경상,차대차 - 기타,기타,맑음,2016-08-06_15시,ID_2419
2015,남,47세,승용차,상해없음,남,64세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,비,2015-04-05_20시,ID_1089
2019,여,49세,승용차,상해없음,남,60세,자전거,중상,차대차 - 추돌,안전거리미확보,맑음,2019-01-17_5시,ID_6134
2020,남,72세,승용차,상해없음,여,50세,자전거,경상,차대차 - 추돌,신호위반,맑음,2020-01-21_14시,ID_7207
2016,남,62세,승용차,상해없음,남,20세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-11-10_23시,ID_3313
2016,남,54세,승용차,상해없음,남,12세,자전거,중상,차대차 - 측면직각충돌,교차로운행방법위반,맑음,2016-07-09_17시,ID_3200
2015,여,26세,승용차,상해없음,남,32세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2015-04-18_11시,ID_87
2016,남,65세,승용차,상해없음,남,18세,자전거,경상,차대차 - 추돌 - 진행중,안전운전불이행,맑음,2016-05-21_17시,ID_3145
2015,남,26세,승용차,상해없음,남,15세,자전거,경상,차대차 - 추돌 - 진행중,신호위반,맑음,2015-09-11_22시,ID_1207
2020,남,52세,자전거,기타불명,여,68세,보행자,경상,차대사람 - 차도통행중,안전운전불이행,맑음,2020-07-14_17시,ID_6893
2015,남,10세,자전거,상해없음,남,30세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2015-08-06_20시,ID_461
2018,남,27세,승용차,상해없음,여,57세,자전거,중상,차대차 - 후진중충돌,안전운전불이행,맑음,2018-05-25_18시,ID_5576
2015,남,36세,승용차,상해없음,남,70세,자전거,중상,차대차 - 측면직각충돌,교차로운행방법위반,맑음,2015-10-11_16시,ID_1880
2017,남,31세,이륜차,상해없음,남,16세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2017-06-09_20시,ID_4561
2016,남,50세,승용차,상해없음,남,17세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2016-06-05_22시,ID_3190
2019,남,44세,승용차,상해없음,남,61세,자전거,중상,차대차 - 측면충돌,신호위반,맑음,2019-09-23_19시,ID_6264
2018,여,63세,승용차,상해없음,남,77세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2018-09-27_14시,ID_5030
2018,남,33세,승용차,상해없음,남,77세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2018-03-29_15시,ID_5502
2016,남,35세,승용차,상해없음,여,21세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2016-12-05_21시,ID_2618
2017,여,44세,승용차,상해없음,여,55세,자전거,경상,차대차 - 측면충돌,신호위반,맑음,2017-05-12_14시,ID_3959
2015,남,66세,건설기계,상해없음,남,77세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,2015-10-05_14시,ID_1261
2015,여,45세,승용차,상해없음,여,41세,자전거,경상,차대차 - 측면직각충돌,신호위반,맑음,2015-05-07_15시,ID_401
2015,남,45세,승용차,상해없음,남,17세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,2015-10-20_22시,ID_1432
2019,남,76세,자전거,상해없음,남,65세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2019-09-13_17시,ID_6666
2018,남,65세,승용차,상해없음,여,61세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2018-09-27_23시,ID_5629
2017,여,64세,승용차,상해없음,남,57세,자전거,중상,차대차 - 추돌,안전운전불이행,맑음,2017-03-12_14시,ID_3848
2020,남,25세,자전거,상해없음,남,45세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2020-05-17_17시,ID_7147
2015,남,59세,원동기장치자전거,상해없음,여,24세,자전거,중상,차대차 - 측면직각충돌,신호위반,맑음,2015-09-18_4시,ID_52
2016,남,16세,자전거,기타불명,남,62세,자전거,경상,차대차 - 측면직각충돌,중앙선침범,맑음,2016-05-31_15시,ID_2797
2016,여,46세,승용차,상해없음,남,13세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2016-08-06_14시,ID_3202
2017,남,35세,승용차,상해없음,남,55세,자전거,중상,차대차 - 정면충돌,차로위반,맑음,2017-06-02_20시,ID_3778
2017,남,44세,승용차,상해없음,남,84세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2017-04-15_5시,ID_4096
2018,남,56세,승용차,상해없음,남,80세,자전거,경상,차대차 - 측면충돌,교차로통행방법위반,맑음,2018-06-13_8시,ID_5478
