target,v1,v2,v3,v4
61.6,37.0,163.7,17.7,11.1
43.77,25.2,119.2,44.2,6.2
59.59,38.4,155.0,14.7,8.1
54.45,37.9,140.5,34.3,6.0
53.31,33.0,147.8,18.2,12.1
64.62,37.9,172.6,34.9,9.4
45.97,34.1,102.0,43.8,6.8
51.93,34.7,101.9,31.9,9.5
45.66,25.7,92.4,37.5,12.6
44.84,27.4,98.4,45.6,8.3
73.32,38.7,161.8,27.8,11.7
47.55,28.6,112.4,22.5,7.9
46.49,28.5,104.3,45.1,6.1
34.9,30.5,128.8,37.1,7.3
56.87,35.9,135.9,34.6,11.0
46.4,22.3,143.4,30.6,8.3
52.65,39.7,92.7,46.7,11.8
47.02,26.5,119.3,10.8,13.3
53.18,33.0,142.5,15.9,7.5
56.16,30.8,157.6,19.5,7.4
60.97,24.2,163.6,39.6,13.8
45.71,29.9,114.5,21.6,10.3
57.94,27.5,159.2,14.5,12.2
54.0,25.9,154.3,18.8,11.4
51.65,33.7,166.9,27.2,7.7
52.01,24.3,148.7,49.6,6.4
51.41,23.1,142.9,12.8,13.0
59.96,36.2,148.5,36.7,9.5
46.61,34.2,114.3,45.8,6.0
57.02,31.5,154.5,14.7,10.6
61.0,36.1,162.3,40.6,7.5
53.49,33.2,95.4,47.0,6.9
66.14,35.4,177.4,35.8,13.7
35.61,23.8,122.0,14.1,6.6
54.38,27.6,100.9,19.9,13.6
56.83,22.4,139.3,48.1,5.8
44.62,29.6,100.0,14.7,6.0
63.26,39.2,177.3,24.6,12.7
55.81,31.0,95.6,25.0,13.5
63.34,36.4,119.7,37.8,11.0
48.61,24.4,136.4,29.0,6.7
54.02,32.9,147.3,25.7,13.3
52.13,37.5,113.3,20.8,12.4
53.66,25.5,166.2,12.0,11.7
55.94,38.5,171.6,49.9,6.0
50.53,21.4,161.1,25.4,10.0
53.0,37.4,174.3,22.0,6.6
55.84,38.8,125.7,21.0,7.5
65.09,38.1,128.9,41.9,13.4
35.96,24.8,102.2,31.7,7.1
54.54,36.0,148.8,33.3,8.2
61.89,27.6,172.0,12.5,12.6
68.84,28.7,117.4,47.5,13.3
46.02,39.1,92.1,43.4,8.4
55.8,31.4,125.5,43.8,7.7
50.4,27.0,155.3,26.4,12.8
56.55,36.1,93.5,35.9,12.9
49.74,27.1,100.7,18.2,11.2
50.57,30.8,143.9,40.4,5.7
56.75,24.4,173.4,33.1,10.3
46.99,22.1,150.9,25.6,9.6
69.17,38.2,149.5,38.9,13.5
60.25,26.3,169.6,46.7,7.6
56.39,20.2,125.9,49.1,10.6
37.71,20.8,111.1,16.7,7.2
60.09,23.0,179.3,41.6,9.6
61.65,38.2,134.7,25.5,13.3
73.46,26.7,175.1,30.3,12.5
40.37,23.2,92.3,47.7,9.5
48.29,39.7,111.4,22.6,8.0
47.95,33.9,161.8,20.0,5.4
62.13,38.1,101.9,40.6,13.5
57.51,25.2,144.1,24.9,10.4
55.17,38.1,111.7,21.5,13.6
40.97,22.5,92.0,42.2,7.0
48.45,37.5,91.1,30.4,9.5
62.13,35.4,148.1,28.2,11.3
65.99,36.5,139.8,46.2,11.6
38.73,30.7,114.3,18.8,8.3
57.54,23.7,152.6,30.6,12.6
47.17,34.6,116.4,21.1,7.1
39.41,24.3,116.5,42.9,5.0
52.77,35.9,150.2,13.1,5.7
47.01,36.3,151.9,10.4,5.7
60.22,31.4,160.8,35.5,11.1
42.87,27.5,119.2,20.7,10.7
39.62,21.6,96.5,14.1,4.8
39.99,22.4,97.1,37.0,4.4
49.86,36.6,150.4,45.2,4.6
51.75,30.6,144.3,12.3,7.1
42.5,35.6,167.7,17.6,4.3
45.74,34.2,107.6,32.6,10.0
48.08,29.3,93.8,17.5,13.5
43.82,33.9,140.2,22.6,5.9
46.26,34.9,141.2,21.5,7.3
50.46,24.8,101.1,43.6,13.7
50.48,25.9,175.6,36.3,5.2
49.09,31.1,108.1,42.3,7.6
57.55,20.1,132.8,16.6,13.2
55.7,30.4,169.8,41.5,7.3
42.82,30.2,156.3,10.7,5.5
53.1,32.0,133.8,40.7,6.3
48.74,37.5,136.1,17.4,5.2
39.52,24.2,177.9,21.5,5.2
49.5,22.1,161.1,32.7,6.4
62.8,29.9,120.6,40.0,13.7
46.29,22.5,155.2,16.1,10.2
49.01,37.3,104.7,20.7,12.3
50.03,27.9,122.8,39.6,11.8
36.6,36.5,106.7,10.4,5.4
54.34,23.6,174.4,33.7,7.8
53.38,38.3,128.0,41.8,11.6
48.95,35.4,122.6,43.5,8.7
54.65,31.2,135.3,48.3,5.3
53.92,33.9,178.9,21.3,5.8
50.32,25.7,156.4,10.6,4.8
54.78,28.2,116.9,43.4,11.6
61.59,31.4,165.6,11.4,13.6
39.77,27.8,110.9,26.5,6.1
45.84,20.4,97.2,43.6,4.4
55.26,30.5,165.7,47.8,9.1
46.74,23.3,148.9,36.8,9.1
66.75,24.1,176.2,44.4,11.3
58.25,22.6,155.4,43.1,11.8
61.39,27.0,100.9,18.2,11.5
57.29,37.4,132.8,48.6,8.4
62.4,36.9,136.7,33.8,12.8
63.59,32.5,153.8,47.3,13.7
42.24,35.4,99.8,48.8,5.1
51.2,30.9,153.7,18.1,6.5
38.05,32.9,105.7,34.4,6.3
50.99,31.4,174.1,19.1,9.3
41.21,29.5,102.9,14.7,4.8
53.33,35.5,148.6,21.0,8.8
47.43,27.2,144.8,45.6,5.4
54.69,30.0,148.3,19.3,13.1
48.66,29.2,164.0,11.6,9.4
50.7,21.3,174.3,40.7,5.5
63.07,33.1,151.9,42.8,11.6
49.22,22.0,173.4,11.7,7.3
55.09,39.4,167.9,14.1,6.6
47.63,29.9,147.3,22.4,9.5
58.15,25.9,164.6,13.4,13.1
54.81,28.9,162.4,19.4,9.9
55.08,23.4,139.9,32.1,10.0
47.25,32.0,162.3,36.3,6.0
49.74,27.9,117.7,13.8,13.5
55.02,39.6,168.6,21.6,8.7
41.4,32.4,101.1,30.1,7.9
42.26,33.9,146.4,20.1,6.9
46.27,28.2,166.0,14.8,7.6
61.17,26.8,167.3,28.6,13.6
48.96,38.9,149.1,34.7,6.8
56.6,35.0,144.6,38.7,7.5
48.44,37.1,117.3,37.9,4.6
59.11,29.1,145.9,16.2,13.9
46.69,34.7,118.5,42.3,8.2
52.08,29.5,176.0,20.5,6.6
58.45,26.4,129.6,32.9,12.3
55.61,29.9,114.9,23.1,12.8
57.01,21.6,178.6,27.9,9.6
46.95,22.8,104.4,45.7,8.0
55.83,20.7,105.9,41.3,8.3
58.64,36.5,135.6,35.0,9.9
51.55,27.0,137.9,18.7,6.5
43.72,31.9,100.3,32.5,5.1
57.88,32.9,106.3,40.4,10.7
48.38,35.4,116.6,12.0,6.9
50.16,21.4,116.6,24.2,13.8
37.84,24.5,123.8,20.0,5.6
48.54,32.5,133.9,36.3,12.8
47.61,39.7,91.1,27.3,5.3
44.01,30.2,109.5,41.2,12.7
58.64,33.4,145.4,47.6,8.9
44.29,30.9,95.9,27.3,6.5
51.85,29.8,117.0,32.0,11.6
57.0,34.9,98.8,34.0,11.6
59.79,29.1,177.8,25.1,13.9
39.72,32.3,95.9,12.7,5.3
62.75,29.5,156.0,30.2,10.1
61.11,37.0,163.4,19.9,9.8
68.53,38.7,167.1,44.3,11.9
54.81,32.6,171.9,23.8,8.9
47.15,22.3,100.8,43.7,6.3
61.18,37.3,156.6,47.3,10.0
53.69,24.8,173.8,21.6,4.2
57.4,29.8,141.4,23.8,9.6
47.96,36.0,102.9,39.3,6.0
54.54,22.9,143.1,36.6,8.2
50.13,23.5,150.2,33.2,11.8
57.02,31.1,152.6,17.9,10.1
66.32,35.0,137.1,35.3,12.6
50.24,28.7,119.8,40.5,10.8
55.1,30.0,129.1,35.3,12.0
49.79,28.4,141.9,32.0,8.8
51.82,32.2,137.1,23.0,9.2
52.97,39.1,105.8,24.8,9.8
41.93,21.3,110.6,10.2,10.2
60.26,30.5,136.6,31.4,11.6
61.53,33.4,145.2,31.5,8.0
42.6,28.4,158.8,19.7,4.0
49.43,27.0,147.3,20.6,10.0
54.71,21.2,169.8,16.6,9.2
45.29,25.8,108.5,40.9,4.3
45.56,22.4,111.2,31.2,4.8
58.06,29.5,179.3,48.1,11.0
60.67,38.0,155.1,38.7,11.4
56.34,37.3,116.4,43.5,12.0
44.99,30.3,102.8,19.4,10.5
57.42,35.7,120.3,48.6,4.3
38.6,25.4,143.4,15.2,4.9
53.07,34.4,143.3,33.0,7.6
50.45,36.0,171.8,36.1,4.4
44.33,23.7,93.6,28.3,6.3
43.64,20.2,136.9,16.2,7.9
33.84,22.3,100.9,45.8,5.8
52.01,30.0,134.5,33.7,7.9
40.02,32.7,104.4,30.6,6.1
51.01,26.5,158.9,12.7,9.8
52.32,38.3,97.1,19.2,9.1
50.0,39.5,136.7,12.2,8.8
50.57,26.1,137.4,24.4,11.3
67.33,39.6,174.7,42.9,7.1
46.55,20.3,156.5,21.0,10.8
51.27,29.9,150.5,17.8,8.7
42.55,21.3,100.9,21.7,11.6
46.57,38.1,138.9,22.6,12.7
41.18,27.3,109.7,46.4,6.7
65.65,39.5,115.6,39.2,10.8
47.71,31.8,136.5,33.2,6.4
83.06,37.2,158.1,47.4,13.5
58.41,27.7,166.6,38.0,8.4
54.47,30.8,168.3,47.3,9.2
51.67,26.2,121.1,48.3,10.6
43.12,23.1,95.1,25.0,8.1
52.14,24.6,152.0,10.8,11.7
35.49,25.6,145.3,10.6,4.5
58.2,37.9,164.9,10.4,10.7
56.5,38.6,102.0,28.7,10.9
55.03,20.8,168.4,30.0,10.7
48.02,27.9,135.5,16.4,6.1
53.06,27.2,111.7,24.7,13.8
46.74,24.9,106.6,29.0,6.6
60.36,22.3,178.5,11.6,10.5
61.46,23.1,165.3,42.1,12.3
50.2,35.2,93.0,38.9,7.4
53.69,35.9,169.2,42.6,8.1
44.96,21.2,152.3,12.3,12.1
56.46,21.8,148.5,12.1,11.8
42.74,21.9,111.4,38.5,11.3
49.35,24.4,136.1,26.1,6.3
57.43,28.2,176.7,42.7,9.1
48.43,30.9,134.7,49.1,7.9
61.15,37.4,134.0,27.2,9.6
46.22,23.7,92.3,36.7,7.3
48.24,36.2,142.8,45.8,5.8
44.95,35.2,146.2,26.7,5.3
42.23,20.3,139.1,30.1,5.4
45.84,34.5,123.2,11.6,9.7
50.58,39.7,146.2,19.9,7.4
42.75,25.6,106.3,49.7,11.3
37.52,28.1,112.7,36.0,4.6
52.79,32.6,95.2,34.9,13.7
57.99,22.9,168.2,20.4,12.2
60.64,23.1,168.4,30.4,8.8
57.88,32.4,137.4,40.0,8.4
56.97,37.0,124.7,36.5,10.2
43.06,22.2,153.6,40.9,5.6
46.7,36.6,125.6,33.8,8.7
53.77,30.8,141.5,32.8,8.8
65.59,21.4,163.6,29.9,13.4
51.16,27.4,91.0,26.1,12.3
58.23,39.4,117.8,45.0,12.8
48.56,27.5,116.6,39.5,8.2
51.04,22.2,103.4,28.3,12.3
47.81,37.9,155.3,12.1,5.4
56.11,30.4,146.2,47.4,13.4
48.59,34.0,169.8,21.1,4.5
59.59,21.8,171.1,42.9,13.3
54.18,30.9,126.4,26.4,9.8
54.76,21.9,168.1,41.4,5.5
58.67,34.8,152.1,46.1,11.3
48.99,25.5,177.2,13.2,5.0
57.15,37.9,98.7,20.7,7.8
47.29,37.8,136.7,20.1,4.4
49.07,36.2,131.3,17.4,11.2
44.88,31.2,109.4,29.3,10.0
54.36,22.1,117.4,46.9,6.9
52.81,32.5,97.4,19.7,5.7
57.26,32.1,165.6,26.8,12.8
53.08,27.1,120.9,11.0,13.6
39.62,22.6,126.7,32.7,4.4
59.85,26.8,163.6,12.0,10.9
61.31,36.2,105.1,47.9,13.9
60.13,35.2,164.5,21.9,8.5
50.19,23.5,133.8,30.2,9.8
41.57,28.0,96.0,30.4,10.3
51.53,27.9,140.4,45.3,7.0
41.52,20.9,134.8,25.5,5.2
44.4,33.4,109.1,32.9,5.9
58.2,30.4,114.7,33.3,7.8
43.37,20.1,147.5,19.9,11.4
63.42,33.8,136.8,27.1,13.3
57.69,29.4,121.3,37.6,11.8
54.06,38.9,134.4,25.0,9.3
58.43,32.0,98.4,42.2,13.8
50.13,39.8,111.3,21.3,4.9
57.98,24.2,154.1,37.1,10.8
31.6,21.6,114.6,38.9,6.4
49.9,39.3,139.5,20.0,8.0
35.26,21.1,99.9,13.0,9.7
38.35,27.8,93.9,47.1,5.3
38.9,20.4,115.8,46.0,8.4
53.33,28.5,161.4,39.9,8.2
59.76,37.5,147.2,40.8,8.0
54.6,39.4,96.5,37.1,8.7
52.99,39.7,102.7,26.4,8.2
37.38,20.4,132.2,15.9,5.6
57.19,22.3,162.7,34.5,13.1
35.14,28.2,102.5,10.3,5.1
63.26,26.5,176.0,49.3,7.3
55.66,31.3,165.0,12.2,10.7
52.08,39.2,103.5,35.9,6.3
36.06,36.7,94.3,48.3,5.0
49.63,29.6,138.1,34.6,5.9
53.5,25.1,95.9,24.8,13.6
48.19,21.9,171.0,17.0,9.7
38.28,20.3,139.2,17.9,5.2
42.52,20.5,151.3,11.8,7.2
59.13,31.7,176.8,45.9,7.6
56.53,39.9,142.4,47.3,8.8
47.8,28.3,93.8,36.9,6.4
61.44,26.8,104.8,17.6,10.7
61.22,26.7,171.6,32.4,13.1
40.76,33.6,121.3,37.6,4.8
55.4,35.0,178.3,16.9,8.2
43.34,22.0,128.3,14.1,10.4
53.45,32.4,155.6,21.7,9.5
50.22,39.7,128.0,30.1,6.0
41.16,27.0,151.4,35.4,7.6
48.25,27.7,141.5,35.0,5.9
44.25,33.2,125.7,17.3,5.6
51.23,35.8,102.8,21.4,9.8
61.87,32.6,167.2,47.2,10.2
70.46,37.2,150.9,43.5,11.1
41.98,34.8,93.9,27.5,6.2
60.74,22.3,145.4,35.3,12.1
51.06,25.9,95.2,39.3,11.2
51.0,28.2,179.5,39.7,4.4
43.08,22.9,117.6,18.0,6.8
72.71,37.4,143.4,33.9,12.1
46.47,23.1,159.8,22.9,7.7
59.99,36.8,113.4,40.1,10.8
63.91,36.4,107.5,49.2,13.0
49.61,33.9,115.3,17.0,4.6
48.88,26.4,117.4,11.0,9.8
52.47,37.9,148.6,42.9,5.9
58.13,35.0,111.5,41.4,9.2
62.45,34.6,149.7,40.9,12.6
56.49,28.4,162.4,18.4,13.1
65.71,33.9,171.7,36.9,13.5
40.95,30.1,100.3,16.3,5.3
53.18,32.3,123.4,47.2,11.3
66.98,32.8,159.5,38.0,10.3
48.01,23.3,118.5,13.3,13.2
43.01,21.3,114.5,18.8,11.5
45.95,27.8,129.9,26.7,7.3
60.96,26.4,130.5,24.9,12.5
58.45,25.4,161.5,42.6,10.2
60.3,39.0,174.3,12.2,7.8
49.04,35.1,162.5,20.6,8.1
39.65,24.2,90.3,16.5,9.8
61.91,30.5,166.7,22.0,5.6
43.88,28.0,132.4,17.2,9.4
55.51,35.9,178.3,30.7,9.0
55.97,27.8,172.1,28.9,9.7
42.61,20.8,160.5,25.7,8.2
61.94,23.6,128.0,49.9,13.1
52.24,32.7,99.6,35.2,11.7
51.08,35.2,121.3,36.4,9.6
43.97,36.4,90.4,12.6,8.0
57.36,36.3,134.3,18.0,11.1
49.87,21.6,123.1,37.8,10.3
46.12,34.6,159.6,15.0,5.0
46.22,22.1,134.7,43.3,4.6
66.12,38.9,123.7,43.1,13.8
44.28,29.1,103.5,28.0,5.9
51.58,30.5,121.7,35.4,11.5
41.76,28.0,98.0,40.4,8.1
38.28,28.4,98.7,40.2,8.7
54.33,23.1,147.1,28.2,12.6
51.59,38.3,164.6,30.2,7.4
62.3,38.6,142.0,43.0,9.1
42.14,25.0,155.8,22.1,6.5
39.92,36.3,105.6,38.1,5.3
42.29,26.2,121.8,46.6,6.5
41.85,32.6,93.5,39.5,4.6
44.3,22.2,140.3,16.4,11.2
50.43,25.2,140.9,37.4,9.8
50.38,39.3,114.8,26.0,4.7
49.44,21.0,112.2,49.9,11.8
60.1,39.4,150.6,13.0,9.8
49.64,34.1,112.3,45.6,6.7
55.62,39.4,160.7,34.4,7.9
61.15,39.3,171.0,10.2,12.8
52.86,23.6,130.7,22.7,13.7
57.33,26.0,143.0,14.7,9.8
55.28,39.8,153.5,12.6,11.3
59.68,37.1,147.0,24.3,11.8
36.64,25.0,95.8,18.9,5.8
56.14,27.4,113.1,48.0,12.3
38.6,24.4,103.9,48.5,5.2
56.05,32.8,174.3,37.8,10.6
45.11,35.1,102.5,17.6,10.6
42.68,23.7,120.1,35.1,5.4
60.5,38.4,126.6,38.6,10.2
59.37,26.5,148.3,30.0,13.2
49.09,32.5,121.9,28.7,7.6
54.97,36.1,125.2,38.7,6.0
71.67,31.2,166.2,27.1,12.0
46.69,21.2,154.3,11.9,9.1
69.4,23.4,131.2,44.2,11.8
58.52,24.4,116.0,30.1,10.0
52.86,21.6,127.3,30.7,6.2
48.16,38.6,127.0,36.5,7.2
43.81,35.6,118.9,16.3,4.2
42.34,21.5,168.1,21.7,4.6
55.78,28.4,133.7,11.4,11.5
48.99,24.5,126.4,28.4,10.0
57.95,27.5,118.3,16.5,11.3
51.12,37.4,153.3,19.2,6.8
50.8,27.0,163.3,36.9,4.9
44.28,23.7,162.2,15.6,4.1
47.99,20.2,176.4,34.1,6.2
40.32,22.7,93.3,32.1,7.0
39.7,36.0,111.8,14.0,7.9
54.22,38.9,133.3,38.2,7.5
41.71,21.3,113.2,25.2,6.3
52.58,32.8,136.7,41.7,10.3
57.75,23.7,126.6,19.7,13.8
64.22,22.6,169.2,39.4,13.2
61.18,36.7,177.0,46.4,12.1
49.12,32.0,138.7,22.7,6.5
62.09,37.5,143.9,22.1,11.6
38.37,22.6,110.2,12.7,6.4
42.42,25.0,98.5,19.0,6.9
45.28,27.2,155.8,33.9,7.5
55.3,27.9,164.0,40.1,7.3
56.09,38.9,124.2,36.7,13.8
47.51,21.5,130.5,27.3,10.0
50.2,35.9,139.2,17.4,7.1
73.83,34.0,170.0,39.3,12.3
42.03,34.6,102.6,26.3,5.1
58.24,29.5,136.1,44.5,12.1
39.65,24.0,106.4,13.6,10.0
50.73,33.2,107.5,26.4,9.3
64.16,38.4,170.5,24.4,11.5
54.62,38.6,96.1,44.6,7.0
51.2,30.7,92.5,34.9,10.4
51.67,24.7,166.1,12.0,13.0
51.11,31.1,93.1,42.4,13.5
53.67,31.0,131.9,23.0,7.1
48.63,39.8,150.6,34.3,6.5
48.22,27.8,144.1,17.8,5.2
47.19,30.1,119.4,27.6,9.8
64.98,39.9,118.4,44.6,8.8
43.49,25.5,176.2,29.3,6.5
45.63,23.1,130.9,48.5,8.3
58.75,37.8,162.3,27.1,7.0
50.44,23.6,140.4,12.7,11.6
50.77,20.5,122.6,27.2,11.4
53.42,20.7,126.7,32.5,13.0
41.07,39.0,96.0,33.3,5.0
70.84,34.8,169.4,44.6,11.4
51.73,30.2,144.9,25.6,9.0
53.39,31.9,135.5,49.6,6.0
38.37,28.9,129.5,23.9,5.0
53.73,34.0,144.6,33.6,7.3
58.48,22.8,156.9,21.1,12.0
59.24,24.1,130.2,18.4,7.2
54.45,25.0,162.6,37.7,8.6
45.02,34.0,98.6,40.4,4.9
42.04,22.1,176.9,36.9,4.8
60.88,23.4,150.1,19.3,9.5
51.94,33.8,97.8,43.0,13.7
55.84,36.3,127.5,39.5,9.9
60.31,31.8,160.4,37.2,12.5
51.75,39.1,99.6,40.2,5.3
52.51,30.7,149.2,27.9,6.5
47.77,34.9,131.3,20.6,12.3
49.38,27.5,143.5,18.3,10.8
51.52,24.5,102.6,38.6,11.1
42.99,23.5,149.6,43.9,9.0
57.44,23.3,159.7,27.4,10.8
59.87,22.7,158.0,47.5,10.9
72.19,39.6,176.8,46.1,11.4
53.07,26.1,108.0,48.6,8.2
55.12,35.8,139.1,36.4,11.2
55.46,34.6,94.7,39.9,13.2
58.47,38.8,133.6,27.0,11.2
43.2,33.3,128.3,24.4,4.2
62.32,24.8,178.1,16.7,12.9
54.98,35.3,171.2,23.6,7.6
50.81,36.3,103.6,40.3,10.6
53.89,23.8,111.6,16.7,12.7
52.11,34.9,170.8,10.5,8.1
58.37,31.8,129.6,22.5,10.0
48.72,24.9,170.3,12.3,4.7
62.67,22.3,161.6,31.8,13.1
50.17,27.7,158.6,16.6,6.8
47.15,27.4,125.4,15.9,6.9
55.79,21.8,117.3,37.4,10.7
55.77,32.2,152.3,33.1,7.3
36.24,31.9,108.5,20.8,5.0
53.13,29.2,152.0,14.4,5.6
61.36,30.2,168.1,29.4,7.6
55.46,33.2,113.7,38.6,7.4
59.23,21.8,179.9,15.4,12.7
37.42,28.5,91.1,16.7,9.4
56.92,22.7,162.4,31.3,11.0
66.55,28.4,172.5,40.9,10.6
41.33,22.2,113.3,43.7,8.1
51.41,23.7,155.7,18.1,11.3
43.19,27.2,99.4,36.2,11.3
52.53,35.0,176.7,21.6,8.3
56.13,35.9,113.3,36.5,8.9
51.94,33.0,176.0,36.7,4.7
57.52,35.4,129.3,46.1,10.7
47.6,23.5,121.1,11.2,13.0
50.89,21.4,167.7,28.6,4.6
44.04,21.5,136.3,12.3,9.5
46.55,25.8,95.4,22.5,12.1
53.69,27.5,112.6,36.2,12.1
49.86,21.5,151.9,47.9,7.8
57.02,29.4,130.8,26.2,12.7
69.37,37.7,126.9,22.7,12.5
60.65,32.7,137.8,10.1,10.4
51.9,20.5,138.0,39.2,9.4
44.32,30.4,136.6,20.9,5.5
56.78,32.3,149.4,35.5,4.8
35.26,21.4,97.9,46.8,5.6
51.76,35.9,118.0,29.2,6.7
55.29,31.7,117.5,44.5,8.5
44.49,38.2,155.4,35.8,7.9
47.63,32.4,165.7,16.4,7.6
58.39,33.4,133.5,45.3,11.7
50.03,24.8,145.6,37.0,10.9
43.52,25.2,162.2,17.3,7.0
46.38,39.8,105.7,17.2,9.4
40.23,21.9,134.7,12.8,7.2
36.95,23.7,147.9,14.1,8.0
48.03,39.0,99.7,24.9,4.9
57.54,38.0,110.5,32.8,8.8
38.27,25.4,109.0,45.2,7.9
51.97,28.3,130.9,39.9,10.7
47.59,25.4,108.6,32.7,10.1
45.8,39.4,170.5,10.2,6.7
47.06,37.5,164.0,42.7,4.6
69.41,29.3,166.6,45.6,13.5
48.38,23.8,151.2,43.6,4.5
58.32,36.6,179.6,23.7,4.4
46.29,36.0,153.6,34.5,4.4
51.76,38.9,122.3,23.1,8.9
53.52,28.8,92.8,38.1,8.2
43.31,21.1,161.9,48.1,5.8
59.71,23.3,144.1,25.5,10.0
43.49,33.2,123.0,19.7,4.6
34.11,25.0,132.7,42.3,6.7
36.31,32.6,138.5,11.2,4.0
67.6,28.4,156.6,45.9,12.2
50.69,32.9,119.4,31.9,10.8
60.31,25.4,117.1,48.9,10.9
48.39,23.3,122.4,28.5,9.1
52.8,22.8,140.4,40.3,11.2
64.42,34.4,178.6,13.5,10.8
50.72,30.2,169.1,42.3,9.9
65.33,35.8,100.9,27.3,13.4
41.95,23.5,136.9,21.9,11.6
48.54,25.8,144.6,28.3,7.1
40.6,26.0,129.9,15.6,10.2
64.62,38.8,153.8,25.7,7.4
47.51,33.3,99.4,22.6,7.8
57.09,29.6,138.7,40.2,11.3
44.59,32.6,102.8,46.4,11.5
52.35,33.5,178.5,12.7,8.1
41.93,24.1,167.0,44.6,5.8
53.06,33.9,124.5,29.4,7.5
62.62,29.0,169.5,28.3,12.7
62.5,35.6,148.1,47.3,12.2
48.64,34.3,115.1,48.4,4.0
57.52,20.4,170.3,20.3,7.8
37.29,23.3,114.4,15.9,11.4
45.47,26.3,93.3,15.0,11.6
59.85,36.6,94.6,35.1,13.2
59.52,28.2,179.8,18.8,12.5
53.7,22.8,166.5,17.5,7.8
54.67,20.6,152.3,23.3,11.5
62.11,25.6,173.0,12.1,12.7
48.86,23.0,124.4,18.6,5.8
53.71,33.4,107.8,36.7,12.0
49.29,32.8,115.1,13.4,10.1
55.86,34.1,103.7,33.4,11.7
