,ID,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,TravelInsurance
375,1056,31,Government Sector,Yes,1300000,4.0,0,No,No,0
376,389,31,Private Sector/Self Employed,Yes,1350000,5.0,0,No,Yes,1
377,1813,29,Private Sector/Self Employed,Yes,1350000,4.0,0,No,Yes,1
378,1169,25,Private Sector/Self Employed,Yes,1400000,7.0,0,No,Yes,1
379,776,25,Private Sector/Self Employed,Yes,1400000,6.0,0,Yes,Yes,1
380,673,30,Private Sector/Self Employed,No,750000,3.0,1,No,No,1
381,1118,33,Government Sector,Yes,1100000,2.0,0,Yes,No,0
382,30,30,Private Sector/Self Employed,No,550000,6.0,0,Yes,Yes,0
383,847,29,Private Sector/Self Employed,Yes,1050000,4.0,0,No,No,1
384,1601,28,Private Sector/Self Employed,Yes,1250000,4.0,1,No,No,0
385,1596,31,Government Sector,No,400000,3.0,0,No,No,0
386,527,28,Private Sector/Self Employed,Yes,700000,4.0,1,No,No,0
387,258,29,Private Sector/Self Employed,Yes,900000,7.0,0,Yes,No,0
388,1151,34,Private Sector/Self Employed,Yes,700000,7.0,0,No,No,1
389,1667,28,Private Sector/Self Employed,Yes,750000,5.0,0,No,No,0
390,878,26,Private Sector/Self Employed,Yes,600000,4.0,0,No,No,0
391,810,29,Private Sector/Self Employed,Yes,600000,4.0,1,No,No,0
392,25,35,Private Sector/Self Employed,No,800000,4.0,0,No,Yes,0
393,644,32,Government Sector,Yes,800000,4.0,0,No,No,0
394,652,33,Government Sector,Yes,800000,6.0,0,No,No,1
395,1983,28,Private Sector/Self Employed,Yes,1750000,5.0,1,No,Yes,0
396,40,25,Private Sector/Self Employed,Yes,1400000,3.0,1,Yes,Yes,1
397,1796,28,Private Sector/Self Employed,Yes,1200000,3.0,0,No,No,0
398,1106,34,Private Sector/Self Employed,Yes,1300000,4.0,0,No,No,0
399,1398,31,Private Sector/Self Employed,Yes,1400000,3.0,0,Yes,Yes,1
400,1262,27,Government Sector,Yes,500000,4.0,0,No,No,1
401,351,29,Private Sector/Self Employed,Yes,1200000,9.0,1,Yes,No,0
402,615,28,Government Sector,Yes,300000,3.0,1,No,No,0
403,1779,25,Private Sector/Self Employed,No,1700000,6.0,0,Yes,No,1
404,33,32,Government Sector,Yes,850000,3.0,0,No,No,0
405,1314,31,Private Sector/Self Employed,Yes,1400000,6.0,0,No,Yes,1
406,1520,28,Government Sector,Yes,600000,4.0,1,No,No,0
407,957,28,Private Sector/Self Employed,Yes,500000,5.0,1,No,No,0
408,1067,34,Private Sector/Self Employed,Yes,700000,4.0,0,Yes,No,1
409,347,34,Private Sector/Self Employed,Yes,1300000,6.0,0,Yes,No,0
410,117,31,Government Sector,Yes,400000,5.0,0,No,No,0
411,764,27,Government Sector,Yes,500000,5.0,0,No,No,0
412,1598,32,Government Sector,Yes,650000,5.0,1,No,No,0
413,672,27,Government Sector,Yes,1050000,2.0,1,No,No,0
414,1146,29,Private Sector/Self Employed,Yes,1200000,4.0,0,No,No,0
415,1335,25,Government Sector,Yes,750000,5.0,1,Yes,No,0
416,380,28,Private Sector/Self Employed,Yes,1200000,5.0,1,No,No,0
417,1741,28,Private Sector/Self Employed,Yes,800000,3.0,0,No,No,0
418,1620,27,Government Sector,Yes,850000,4.0,1,No,No,0
419,726,25,Private Sector/Self Employed,Yes,1700000,5.0,0,Yes,No,1
420,846,28,Private Sector/Self Employed,Yes,700000,4.0,0,No,No,0
421,1864,31,Government Sector,Yes,400000,6.0,1,No,No,1
422,343,28,Private Sector/Self Employed,Yes,1250000,7.0,0,No,No,0
423,372,29,Private Sector/Self Employed,Yes,350000,5.0,1,No,No,0
424,982,27,Government Sector,Yes,850000,5.0,0,No,No,0
425,1362,28,Private Sector/Self Employed,Yes,700000,2.0,1,No,No,1
426,696,32,Government Sector,Yes,350000,2.0,0,No,No,0
427,984,28,Private Sector/Self Employed,Yes,550000,5.0,1,No,No,0
428,1471,35,Government Sector,Yes,1100000,3.0,0,No,No,1
429,1918,33,Private Sector/Self Employed,Yes,1400000,3.0,0,No,Yes,1
430,1648,28,Private Sector/Self Employed,Yes,1100000,5.0,0,No,No,0
431,1645,25,Private Sector/Self Employed,No,1150000,3.0,0,Yes,No,0
432,1188,26,Private Sector/Self Employed,Yes,500000,5.0,0,No,No,0
433,1583,28,Government Sector,Yes,300000,6.0,0,No,No,0
434,918,33,Government Sector,Yes,1000000,7.0,1,No,No,1
435,85,25,Private Sector/Self Employed,No,1700000,4.0,0,Yes,No,1
436,517,31,Private Sector/Self Employed,Yes,1250000,5.0,0,No,No,1
437,1589,25,Private Sector/Self Employed,Yes,1400000,4.0,0,Yes,Yes,1
438,610,31,Private Sector/Self Employed,Yes,900000,8.0,0,No,Yes,0
439,1935,33,Government Sector,Yes,1000000,6.0,0,Yes,No,0
440,110,31,Government Sector,Yes,400000,5.0,0,No,No,0
441,857,28,Government Sector,Yes,600000,3.0,0,No,No,1
442,1231,34,Private Sector/Self Employed,Yes,1500000,4.0,1,Yes,Yes,1
443,1439,33,Government Sector,Yes,400000,7.0,1,No,No,1
444,1156,28,Private Sector/Self Employed,Yes,1300000,6.0,0,No,No,1
445,300,32,Government Sector,Yes,900000,5.0,1,No,No,1
446,1130,28,Private Sector/Self Employed,Yes,550000,5.0,0,Yes,No,0
447,1952,31,Government Sector,Yes,1500000,4.0,0,Yes,Yes,1
448,51,29,Private Sector/Self Employed,Yes,1050000,3.0,0,No,No,0
449,848,35,Government Sector,Yes,900000,6.0,1,No,No,0
450,1461,31,Government Sector,No,400000,8.0,0,No,No,0
451,1575,30,Private Sector/Self Employed,No,550000,3.0,0,No,No,0
452,1600,28,Government Sector,Yes,300000,7.0,0,No,No,1
453,99,29,Government Sector,Yes,600000,3.0,0,No,No,0
454,1445,28,Private Sector/Self Employed,Yes,1100000,4.0,1,No,No,0
455,495,31,Government Sector,Yes,1200000,4.0,0,No,No,0
456,1524,29,Private Sector/Self Employed,Yes,1200000,3.0,0,No,No,0
457,1062,32,Government Sector,Yes,650000,4.0,0,No,No,0
458,235,30,Private Sector/Self Employed,No,550000,4.0,0,No,No,0
459,381,29,Private Sector/Self Employed,Yes,1200000,5.0,0,No,No,0
460,1728,26,Private Sector/Self Employed,Yes,500000,6.0,0,No,No,0
461,279,32,Government Sector,Yes,350000,6.0,0,No,No,0
462,605,28,Private Sector/Self Employed,Yes,1250000,5.0,0,No,Yes,1
463,1771,26,Private Sector/Self Employed,Yes,1400000,4.0,0,No,Yes,1
464,1420,33,Government Sector,Yes,700000,3.0,0,No,No,0
465,1317,25,Private Sector/Self Employed,No,1700000,4.0,0,Yes,No,1
466,81,25,Private Sector/Self Employed,No,1150000,8.0,0,No,No,0
467,1960,28,Government Sector,Yes,300000,6.0,0,No,No,1
468,415,28,Government Sector,Yes,600000,5.0,0,No,No,0
469,962,33,Government Sector,Yes,1000000,5.0,0,No,No,0
470,689,27,Government Sector,Yes,500000,7.0,0,No,No,0
471,184,25,Government Sector,Yes,750000,3.0,0,No,No,0
472,1800,25,Government Sector,Yes,750000,3.0,1,No,No,0
473,890,33,Private Sector/Self Employed,Yes,1400000,3.0,0,No,Yes,1
474,280,32,Government Sector,Yes,800000,6.0,0,Yes,No,0
475,1063,28,Private Sector/Self Employed,Yes,1200000,6.0,0,No,No,0
476,1891,28,Private Sector/Self Employed,Yes,800000,7.0,1,No,No,1
477,1018,31,Government Sector,Yes,400000,7.0,0,No,No,0
478,296,32,Government Sector,Yes,350000,7.0,0,No,No,0
479,318,34,Government Sector,Yes,1100000,3.0,0,No,No,1
480,1605,26,Private Sector/Self Employed,Yes,450000,4.0,0,No,No,0
481,1913,33,Government Sector,Yes,1100000,5.0,0,No,No,0
482,1757,25,Private Sector/Self Employed,No,1150000,7.0,0,No,No,0
483,1060,35,Private Sector/Self Employed,No,950000,5.0,1,No,No,0
484,210,28,Private Sector/Self Employed,Yes,1200000,5.0,1,Yes,No,0
485,1685,28,Private Sector/Self Employed,Yes,750000,5.0,1,Yes,No,0
486,1941,27,Private Sector/Self Employed,No,450000,3.0,0,No,No,1
487,1592,25,Private Sector/Self Employed,No,1700000,5.0,0,Yes,No,1
488,1621,31,Private Sector/Self Employed,Yes,900000,4.0,1,No,No,0
489,1035,34,Private Sector/Self Employed,Yes,1300000,3.0,0,No,No,0
490,277,31,Private Sector/Self Employed,Yes,950000,7.0,0,Yes,No,0
491,1541,28,Private Sector/Self Employed,Yes,1100000,4.0,0,No,No,0
492,1507,27,Government Sector,Yes,750000,5.0,0,No,No,0
493,646,28,Private Sector/Self Employed,Yes,1100000,6.0,0,No,No,0
494,1198,33,Government Sector,Yes,400000,4.0,0,No,No,0
495,1700,28,Private Sector/Self Employed,Yes,800000,6.0,1,No,No,0
496,1226,34,Private Sector/Self Employed,Yes,1500000,5.0,0,Yes,Yes,1
497,147,31,Government Sector,No,400000,4.0,1,No,No,0
498,142,32,Government Sector,Yes,350000,9.0,1,No,No,0
499,992,28,Private Sector/Self Employed,Yes,1100000,4.0,1,No,No,0
500,638,26,Government Sector,Yes,1450000,3.0,0,Yes,Yes,1
501,1791,28,Private Sector/Self Employed,Yes,1200000,5.0,0,No,No,0
502,278,32,Government Sector,Yes,800000,5.0,1,No,No,1
503,995,27,Government Sector,Yes,850000,5.0,0,No,No,0
504,1718,34,Private Sector/Self Employed,Yes,700000,3.0,0,No,No,1
505,1949,34,Private Sector/Self Employed,Yes,700000,6.0,0,No,No,1
506,1692,29,Private Sector/Self Employed,Yes,1100000,6.0,0,Yes,No,0
507,270,34,Government Sector,Yes,1300000,6.0,0,No,Yes,1
508,1516,34,Government Sector,Yes,1300000,2.0,0,No,No,0
509,759,34,Private Sector/Self Employed,Yes,700000,7.0,1,No,No,1
510,450,31,Private Sector/Self Employed,Yes,1250000,6.0,0,No,Yes,0
511,139,35,Private Sector/Self Employed,No,800000,7.0,1,No,No,1
512,1448,32,Government Sector,Yes,800000,4.0,1,No,No,0
513,525,26,Private Sector/Self Employed,Yes,500000,9.0,0,No,No,0
514,340,27,Private Sector/Self Employed,No,800000,7.0,1,No,No,0
515,273,34,Private Sector/Self Employed,Yes,1000000,6.0,0,Yes,No,1
516,1204,28,Private Sector/Self Employed,Yes,800000,3.0,1,No,No,1
517,218,26,Private Sector/Self Employed,Yes,1500000,7.0,0,Yes,Yes,0
518,1527,31,Private Sector/Self Employed,Yes,1250000,5.0,0,No,No,1
519,1746,31,Government Sector,Yes,400000,2.0,0,No,No,0
520,749,34,Government Sector,Yes,1300000,8.0,0,No,No,1
521,549,28,Government Sector,No,300000,5.0,1,No,No,0
522,1790,28,Private Sector/Self Employed,Yes,1150000,4.0,0,No,No,0
523,1052,29,Private Sector/Self Employed,Yes,1200000,7.0,1,No,No,0
524,1569,27,Government Sector,Yes,500000,5.0,0,No,No,0
525,1974,28,Private Sector/Self Employed,Yes,1200000,6.0,0,Yes,No,0
526,1560,28,Private Sector/Self Employed,Yes,1200000,4.0,0,No,No,0
527,1134,31,Private Sector/Self Employed,Yes,1250000,,0,No,No,1
528,423,25,Private Sector/Self Employed,Yes,1400000,5.0,0,No,Yes,1
529,591,25,Private Sector/Self Employed,No,1150000,3.0,1,No,No,0
530,1294,28,Private Sector/Self Employed,Yes,600000,4.0,0,No,No,0
531,1607,29,Private Sector/Self Employed,Yes,350000,8.0,1,No,No,1
532,613,31,Private Sector/Self Employed,Yes,1250000,6.0,0,No,No,0
533,1477,34,Private Sector/Self Employed,Yes,1000000,5.0,0,No,No,0
534,1827,32,Government Sector,Yes,800000,5.0,1,Yes,No,1
535,944,33,Government Sector,Yes,600000,3.0,0,No,No,0
536,1368,29,Private Sector/Self Employed,Yes,1350000,6.0,0,No,Yes,1
537,458,26,Private Sector/Self Employed,Yes,750000,3.0,1,No,No,0
538,1463,28,Private Sector/Self Employed,Yes,1150000,6.0,0,No,No,0
539,1680,31,Government Sector,Yes,1300000,8.0,0,No,No,0
540,344,32,Government Sector,Yes,800000,4.0,0,Yes,Yes,0
541,1774,32,Government Sector,Yes,350000,5.0,0,No,No,0
542,766,34,Private Sector/Self Employed,Yes,700000,3.0,1,No,No,0
543,1599,27,Government Sector,Yes,850000,3.0,0,No,No,0
544,1695,35,Government Sector,Yes,1100000,5.0,0,No,No,0
545,987,33,Private Sector/Self Employed,Yes,1400000,2.0,1,No,Yes,1
546,141,25,Private Sector/Self Employed,Yes,1400000,3.0,0,No,Yes,0
547,133,25,Private Sector/Self Employed,Yes,1750000,4.0,0,No,Yes,1
548,1092,31,Government Sector,Yes,1500000,7.0,0,Yes,Yes,1
549,1473,29,Private Sector/Self Employed,Yes,1050000,6.0,0,No,No,0
550,1826,29,Private Sector/Self Employed,Yes,1200000,6.0,0,No,No,0
551,1780,31,Private Sector/Self Employed,Yes,950000,3.0,0,Yes,No,0
552,1376,27,Government Sector,Yes,750000,3.0,1,No,No,0
553,803,29,Private Sector/Self Employed,Yes,1050000,7.0,1,No,No,0
554,1657,28,Private Sector/Self Employed,Yes,550000,4.0,0,No,No,0
555,1656,26,Private Sector/Self Employed,Yes,600000,3.0,0,No,No,0
556,1210,30,Private Sector/Self Employed,No,800000,5.0,0,No,No,1
557,558,34,Private Sector/Self Employed,Yes,850000,3.0,1,No,No,0
558,959,31,Private Sector/Self Employed,Yes,500000,6.0,0,No,No,0
559,520,35,Government Sector,Yes,1100000,4.0,1,No,No,0
560,307,28,Private Sector/Self Employed,Yes,1150000,8.0,1,No,No,0
561,937,28,Private Sector/Self Employed,Yes,1250000,4.0,0,No,No,0
562,660,28,Government Sector,Yes,300000,4.0,0,No,No,0
563,27,28,Private Sector/Self Employed,Yes,1250000,2.0,0,Yes,No,0
564,1144,31,Government Sector,No,300000,4.0,0,No,No,0
565,1977,25,Private Sector/Self Employed,No,1350000,6.0,0,No,Yes,1
566,373,28,Private Sector/Self Employed,Yes,900000,5.0,0,Yes,No,0
567,1878,28,Private Sector/Self Employed,Yes,700000,4.0,0,No,No,1
568,1699,28,Private Sector/Self Employed,Yes,700000,3.0,0,No,No,1
569,222,28,Private Sector/Self Employed,Yes,1200000,3.0,0,No,No,0
570,1978,34,Private Sector/Self Employed,Yes,700000,5.0,0,No,No,1
571,89,28,Government Sector,Yes,300000,8.0,0,No,No,0
572,275,26,Private Sector/Self Employed,Yes,1400000,4.0,1,No,Yes,1
573,26,34,Private Sector/Self Employed,No,1300000,6.0,0,Yes,No,1
574,948,29,Private Sector/Self Employed,Yes,500000,5.0,0,No,No,0
575,401,34,Private Sector/Self Employed,Yes,700000,4.0,0,No,No,0
576,742,34,Private Sector/Self Employed,Yes,1050000,7.0,1,No,No,1
577,891,29,Private Sector/Self Employed,Yes,1050000,5.0,1,No,No,0
578,552,27,Government Sector,Yes,1050000,4.0,0,No,No,0
579,1710,31,Private Sector/Self Employed,Yes,1350000,4.0,0,No,Yes,1
580,835,35,Private Sector/Self Employed,No,600000,9.0,0,No,No,0
581,1687,31,Government Sector,No,400000,4.0,1,No,No,0
582,111,28,Private Sector/Self Employed,Yes,800000,5.0,0,No,No,0
583,1940,25,Private Sector/Self Employed,Yes,1400000,5.0,0,Yes,Yes,0
584,1421,31,Private Sector/Self Employed,Yes,1350000,3.0,1,Yes,Yes,1
585,1389,25,Private Sector/Self Employed,No,1150000,6.0,0,No,No,1
586,534,27,Private Sector/Self Employed,No,450000,4.0,0,No,No,1
587,1867,35,Private Sector/Self Employed,No,800000,5.0,0,No,No,1
588,426,25,Private Sector/Self Employed,Yes,500000,5.0,0,No,No,0
589,1769,29,Private Sector/Self Employed,Yes,1050000,5.0,0,No,No,0
590,427,25,Private Sector/Self Employed,Yes,1400000,7.0,0,Yes,Yes,1
591,603,33,Private Sector/Self Employed,Yes,1400000,6.0,1,No,Yes,1
592,1444,31,Private Sector/Self Employed,Yes,900000,6.0,0,No,No,0
593,388,28,Private Sector/Self Employed,Yes,550000,5.0,0,No,No,0
594,1470,33,Government Sector,Yes,1100000,4.0,0,No,No,0
595,1080,28,Private Sector/Self Employed,Yes,700000,7.0,0,No,No,0
596,313,25,Private Sector/Self Employed,No,1150000,4.0,0,No,No,1
597,789,28,Private Sector/Self Employed,Yes,750000,4.0,0,No,No,1
598,1177,34,Private Sector/Self Employed,Yes,700000,2.0,1,Yes,No,0
599,753,33,Government Sector,Yes,1100000,4.0,1,No,No,0
600,1446,29,Private Sector/Self Employed,Yes,500000,5.0,0,No,No,1
601,109,25,Private Sector/Self Employed,Yes,1700000,3.0,0,Yes,No,1
602,531,28,Private Sector/Self Employed,Yes,1150000,6.0,1,No,No,0
603,1776,29,Private Sector/Self Employed,Yes,1200000,4.0,0,No,No,0
604,889,35,Private Sector/Self Employed,No,800000,3.0,1,No,No,0
605,541,29,Private Sector/Self Employed,Yes,1200000,5.0,0,No,No,0
606,1347,28,Private Sector/Self Employed,Yes,1300000,3.0,0,No,No,0
607,1476,33,Private Sector/Self Employed,Yes,1750000,6.0,0,No,No,1
608,1131,31,Government Sector,Yes,400000,3.0,0,No,No,0
609,871,25,Private Sector/Self Employed,No,1700000,5.0,1,Yes,Yes,0
610,980,28,Government Sector,Yes,300000,8.0,0,No,No,0
611,1071,27,Government Sector,Yes,750000,8.0,0,No,No,0
612,309,33,Government Sector,Yes,650000,4.0,0,No,No,1
613,237,30,Private Sector/Self Employed,No,500000,8.0,0,No,No,0
614,1101,34,Private Sector/Self Employed,Yes,500000,4.0,0,No,No,0
615,1105,26,Government Sector,Yes,1450000,7.0,0,Yes,Yes,1
616,290,32,Government Sector,Yes,900000,6.0,1,No,No,0
617,1743,35,Private Sector/Self Employed,No,950000,4.0,0,No,No,1
618,1735,34,Private Sector/Self Employed,Yes,500000,6.0,0,No,No,0
619,905,28,Private Sector/Self Employed,Yes,550000,6.0,0,No,Yes,0
620,204,32,Government Sector,Yes,900000,4.0,0,Yes,No,0
621,213,26,Private Sector/Self Employed,Yes,1400000,5.0,0,Yes,Yes,1
622,385,34,Private Sector/Self Employed,Yes,1000000,5.0,0,No,No,0
623,405,32,Government Sector,Yes,850000,6.0,0,No,No,0
624,402,31,Private Sector/Self Employed,Yes,1250000,3.0,0,No,No,0
625,239,26,Private Sector/Self Employed,Yes,1250000,5.0,0,No,No,0
626,497,28,Private Sector/Self Employed,Yes,1200000,5.0,0,Yes,No,1
627,709,33,Private Sector/Self Employed,Yes,1500000,3.0,0,Yes,Yes,1
628,1604,29,Private Sector/Self Employed,Yes,1050000,7.0,0,No,No,0
629,1532,28,Government Sector,Yes,1200000,5.0,0,No,No,0
630,1345,28,Private Sector/Self Employed,Yes,700000,2.0,1,No,No,0
631,946,25,Private Sector/Self Employed,Yes,1400000,5.0,0,Yes,Yes,1
632,1325,30,Private Sector/Self Employed,No,800000,4.0,0,No,No,1
633,136,29,Private Sector/Self Employed,Yes,500000,6.0,0,No,No,1
634,504,29,Private Sector/Self Employed,Yes,500000,4.0,0,No,No,0
635,246,31,Government Sector,No,350000,6.0,1,No,No,0
636,1895,26,Government Sector,Yes,500000,3.0,0,No,No,0
637,1316,31,Private Sector/Self Employed,Yes,1400000,3.0,0,No,Yes,1
638,1235,28,Government Sector,Yes,1200000,3.0,0,No,No,0
639,1017,28,Government Sector,Yes,300000,3.0,1,No,No,0
640,1636,28,Private Sector/Self Employed,Yes,1400000,4.0,0,Yes,Yes,0
641,8,28,Private Sector/Self Employed,Yes,1450000,6.0,1,Yes,Yes,1
642,793,28,Private Sector/Self Employed,Yes,1150000,6.0,0,No,No,1
643,1564,30,Private Sector/Self Employed,No,550000,5.0,0,No,No,0
644,1490,25,Private Sector/Self Employed,No,1150000,5.0,0,No,No,0
645,498,29,Private Sector/Self Employed,Yes,600000,5.0,0,No,No,0
646,1713,28,Private Sector/Self Employed,Yes,800000,4.0,0,No,No,0
647,1372,33,Private Sector/Self Employed,Yes,550000,5.0,1,No,No,1
648,1046,33,Government Sector,Yes,400000,5.0,1,No,No,0
649,1665,31,Government Sector,No,300000,5.0,0,No,No,0
650,1898,25,Private Sector/Self Employed,No,600000,4.0,1,Yes,No,0
651,1410,28,Private Sector/Self Employed,Yes,550000,8.0,0,No,No,0
652,267,33,Government Sector,Yes,1100000,4.0,0,No,No,1
653,1180,26,Private Sector/Self Employed,Yes,500000,6.0,0,No,No,0
654,1519,28,Government Sector,Yes,300000,6.0,0,No,No,1
655,667,26,Private Sector/Self Employed,Yes,1300000,4.0,1,No,Yes,0
656,1108,35,Private Sector/Self Employed,No,950000,3.0,0,Yes,No,1
657,428,28,Private Sector/Self Employed,Yes,700000,5.0,1,No,No,0
658,952,28,Private Sector/Self Employed,Yes,1450000,5.0,0,Yes,Yes,1
659,1036,28,Private Sector/Self Employed,Yes,750000,5.0,0,No,No,0
660,1051,25,Private Sector/Self Employed,No,600000,4.0,0,Yes,Yes,0
661,1546,30,Private Sector/Self Employed,No,550000,2.0,1,No,No,0
662,1850,28,Government Sector,Yes,300000,5.0,0,No,No,0
663,1284,33,Government Sector,Yes,400000,5.0,0,No,No,0
664,547,26,Private Sector/Self Employed,Yes,1400000,4.0,1,No,Yes,1
665,50,31,Private Sector/Self Employed,Yes,1250000,3.0,1,No,No,0
666,728,28,Private Sector/Self Employed,Yes,1250000,6.0,0,No,Yes,0
667,1715,28,Private Sector/Self Employed,Yes,800000,6.0,1,No,No,0
668,697,25,Private Sector/Self Employed,Yes,1400000,3.0,1,No,Yes,1
669,1147,26,Private Sector/Self Employed,Yes,1500000,3.0,0,Yes,Yes,1
670,190,27,Government Sector,Yes,900000,5.0,0,No,No,0
671,668,33,Government Sector,Yes,1000000,5.0,0,Yes,No,0
672,355,28,Private Sector/Self Employed,Yes,1400000,3.0,0,No,Yes,1
673,424,29,Private Sector/Self Employed,Yes,1100000,7.0,1,Yes,No,1
674,1705,28,Government Sector,Yes,300000,8.0,0,No,No,0
675,1761,30,Private Sector/Self Employed,No,500000,7.0,1,No,No,0
676,1875,26,Private Sector/Self Employed,Yes,1400000,5.0,0,No,Yes,1
677,589,26,Private Sector/Self Employed,Yes,1400000,3.0,0,No,Yes,1
678,233,31,Government Sector,Yes,1200000,6.0,1,No,No,0
679,1224,33,Private Sector/Self Employed,Yes,1400000,7.0,0,No,Yes,1
680,1716,31,Private Sector/Self Employed,Yes,1250000,3.0,0,No,No,0
681,1115,34,Private Sector/Self Employed,Yes,700000,2.0,0,No,No,0
682,1058,27,Government Sector,Yes,900000,6.0,0,Yes,Yes,0
683,36,31,Government Sector,No,300000,9.0,1,No,No,0
684,920,32,Government Sector,Yes,650000,5.0,0,No,No,0
685,839,26,Private Sector/Self Employed,Yes,1250000,4.0,0,No,No,1
686,1155,28,Government Sector,Yes,600000,4.0,0,Yes,No,1
687,607,28,Private Sector/Self Employed,Yes,550000,8.0,1,No,No,0
688,329,28,Private Sector/Self Employed,Yes,1100000,8.0,0,No,No,0
689,1840,28,Private Sector/Self Employed,Yes,900000,8.0,0,No,No,0
690,1747,33,Private Sector/Self Employed,Yes,1500000,5.0,0,Yes,Yes,1
691,659,34,Private Sector/Self Employed,Yes,500000,3.0,0,No,No,0
692,1785,25,Private Sector/Self Employed,No,1150000,2.0,0,No,Yes,0
693,1085,28,Private Sector/Self Employed,Yes,1250000,7.0,0,No,No,0
694,1639,25,Private Sector/Self Employed,Yes,1700000,4.0,0,Yes,No,1
695,1846,32,Government Sector,Yes,850000,4.0,0,No,No,0
696,1234,34,Government Sector,Yes,1300000,4.0,0,No,No,0
697,1887,31,Private Sector/Self Employed,Yes,900000,5.0,0,No,No,0
698,479,34,Government Sector,Yes,1300000,4.0,1,No,No,0
699,938,28,Government Sector,Yes,1200000,8.0,0,Yes,No,1
700,1720,29,Private Sector/Self Employed,Yes,1100000,2.0,0,No,No,0
701,989,33,Government Sector,Yes,400000,7.0,1,No,No,1
702,11,26,Private Sector/Self Employed,Yes,1400000,5.0,0,Yes,Yes,1
703,581,28,Private Sector/Self Employed,Yes,700000,4.0,1,No,No,0
704,7,31,Private Sector/Self Employed,Yes,1350000,3.0,0,Yes,Yes,1
705,1396,32,Government Sector,Yes,350000,5.0,1,No,No,0
706,1407,31,Private Sector/Self Employed,Yes,1250000,4.0,0,No,No,0
707,637,34,Private Sector/Self Employed,Yes,1300000,5.0,1,No,No,0
708,917,28,Government Sector,Yes,300000,6.0,0,No,No,0
709,967,29,Private Sector/Self Employed,Yes,900000,5.0,0,No,No,0
710,1981,27,Government Sector,Yes,850000,3.0,0,No,No,1
711,1186,31,Private Sector/Self Employed,Yes,900000,3.0,1,No,No,0
712,1469,28,Government Sector,Yes,300000,6.0,0,No,No,0
713,1503,29,Private Sector/Self Employed,Yes,500000,4.0,0,No,No,0
714,851,28,Private Sector/Self Employed,Yes,500000,5.0,0,No,No,1
715,47,35,Government Sector,Yes,1100000,5.0,0,No,No,0
716,533,29,Private Sector/Self Employed,Yes,600000,3.0,0,No,No,0
717,1721,30,Private Sector/Self Employed,No,1450000,2.0,1,Yes,Yes,1
718,254,28,Government Sector,Yes,1200000,5.0,0,No,No,0
719,363,34,Government Sector,Yes,1300000,4.0,0,No,No,0
720,146,30,Private Sector/Self Employed,No,750000,3.0,1,No,No,1
721,1281,29,Government Sector,Yes,600000,4.0,0,No,No,0
722,1238,34,Private Sector/Self Employed,Yes,700000,6.0,0,No,No,1
723,1509,28,Private Sector/Self Employed,Yes,1300000,4.0,1,No,No,0
724,579,33,Government Sector,Yes,400000,3.0,0,No,No,0
725,569,27,Government Sector,Yes,500000,4.0,1,No,No,0
726,1649,28,Private Sector/Self Employed,Yes,1150000,4.0,1,No,No,0
727,844,33,Government Sector,Yes,1100000,2.0,0,No,No,0
728,575,29,Private Sector/Self Employed,Yes,900000,6.0,0,Yes,No,1
729,797,28,Government Sector,Yes,300000,4.0,0,No,No,0
730,1551,28,Private Sector/Self Employed,Yes,1300000,6.0,0,No,No,0
731,84,32,Government Sector,Yes,350000,6.0,1,No,No,0
732,664,34,Private Sector/Self Employed,Yes,1500000,4.0,0,Yes,Yes,1
733,1218,28,Private Sector/Self Employed,Yes,1150000,,0,No,No,0
734,453,31,Private Sector/Self Employed,Yes,1100000,3.0,0,No,No,0
735,1340,28,Private Sector/Self Employed,Yes,700000,4.0,1,No,No,1
736,259,33,Government Sector,Yes,400000,3.0,1,No,No,1
737,240,27,Private Sector/Self Employed,No,350000,7.0,0,No,No,0
738,1295,35,Government Sector,Yes,900000,7.0,1,Yes,No,1
739,65,26,Private Sector/Self Employed,Yes,600000,5.0,1,No,No,0
740,801,31,Private Sector/Self Employed,Yes,500000,4.0,1,No,No,1
741,182,35,Private Sector/Self Employed,No,800000,3.0,0,Yes,No,1
742,711,34,Private Sector/Self Employed,Yes,1000000,8.0,0,No,No,1
743,1217,31,Government Sector,Yes,400000,7.0,0,No,No,0
744,958,27,Private Sector/Self Employed,No,350000,5.0,1,No,No,0
745,954,34,Private Sector/Self Employed,Yes,1000000,5.0,1,Yes,No,0
746,295,28,Private Sector/Self Employed,Yes,550000,5.0,0,No,No,0
747,1498,33,Government Sector,Yes,600000,4.0,0,No,No,0
748,815,25,Private Sector/Self Employed,No,1700000,5.0,1,Yes,No,0
749,1928,34,Private Sector/Self Employed,Yes,1500000,7.0,0,Yes,Yes,1
750,1043,30,Private Sector/Self Employed,No,500000,8.0,0,No,No,0
751,464,34,Private Sector/Self Employed,Yes,1500000,5.0,0,Yes,Yes,1
752,507,32,Government Sector,Yes,800000,2.0,1,No,No,0
753,1437,30,Private Sector/Self Employed,No,500000,7.0,0,No,No,1
754,494,34,Government Sector,Yes,1300000,5.0,1,No,Yes,0
755,1828,28,Government Sector,Yes,300000,3.0,0,No,No,0
756,1127,30,Private Sector/Self Employed,No,650000,6.0,0,Yes,No,0
