ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
10754,F,Ship,4,5,245.0,5,low,M,8,1841,0
5080,B,Flight,4,1,212.0,3,low,M,2,4353,1
904,B,Ship,4,1,143.0,2,medium,M,3,1996,1
8852,F,Ship,6,3,189.0,3,medium,F,3,5062,0
5377,D,Ship,4,4,236.0,2,medium,F,5,5266,0
2397,A,Ship,3,2,232.0,3,low,F,64,3131,1
4653,A,Road,5,1,238.0,4,medium,M,10,4668,0
5786,F,Ship,4,1,254.0,5,medium,F,3,1880,1
9094,B,Ship,6,5,289.0,4,low,M,5,1600,1
7588,B,Ship,4,1,201.0,6,medium,F,8,5529,0
6381,A,Ship,3,3,151.0,3,low,M,7,4611,0
7011,A,Ship,3,3,249.0,3,low,M,10,5184,0
1315,D,Ship,5,3,190.0,3,low,M,52,2611,1
1454,F,Ship,6,3,223.0,6,medium,M,29,2980,1
10308,F,Ship,4,2,225.0,2,medium,F,5,5943,0
9926,F,Ship,6,3,247.0,4,medium,M,7,1626,1
2060,F,Flight,5,2,265.0,3,medium,F,33,2734,1
6443,C,Flight,4,3,186.0,3,medium,F,9,5131,1
5985,A,Ship,4,5,198.0,7,medium,M,9,4249,1
10962,F,Flight,3,2,164.0,4,medium,M,6,5761,0
925,D,Ship,4,1,161.0,2,high,F,41,1992,1
5132,F,Ship,5,1,265.0,3,high,M,5,4951,1
8310,F,Ship,5,5,256.0,5,low,F,10,1333,1
9380,F,Ship,6,1,144.0,4,low,F,5,5121,0
4681,D,Ship,3,3,237.0,3,low,F,7,4062,0
6070,B,Ship,3,4,156.0,2,medium,F,10,5107,1
4178,F,Ship,4,5,149.0,3,low,M,9,4953,1
10138,B,Flight,6,5,277.0,4,medium,F,5,1845,1
2004,F,Ship,6,5,210.0,5,high,M,37,3236,1
8632,B,Flight,5,3,232.0,5,low,F,1,1835,1
4690,B,Ship,3,3,157.0,3,medium,M,10,4877,0
6525,A,Ship,3,1,261.0,8,medium,F,9,5248,1
6178,B,Flight,2,1,220.0,2,medium,F,6,4382,1
6769,D,Ship,4,1,100.0,6,medium,M,6,5841,0
6976,B,Road,4,1,137.0,2,low,M,3,4657,0
5564,F,Ship,3,4,242.0,2,low,F,10,5559,1
6164,F,Flight,5,4,211.0,3,medium,F,7,4856,0
6704,F,Road,4,2,181.0,3,low,M,10,4212,1
10284,F,Flight,3,5,177.0,2,low,F,2,4906,1
6316,B,Flight,5,3,257.0,5,medium,F,7,1565,1
1175,C,Ship,4,3,260.0,2,low,M,38,2526,1
897,A,Ship,4,2,162.0,2,low,M,16,1014,1
5601,A,Road,3,1,232.0,2,medium,M,4,5806,1
4924,B,Road,4,5,203.0,2,medium,F,8,4450,1
3410,F,Road,3,4,202.0,3,medium,M,5,5169,0
6865,D,Flight,4,3,255.0,5,low,M,1,1192,0
10767,A,Ship,5,2,264.0,5,medium,M,4,1318,0
4903,D,Ship,5,1,255.0,3,high,M,6,4044,1
8006,F,Ship,6,3,247.0,4,low,F,6,1537,0
4210,B,Ship,5,4,252.0,3,medium,M,6,5221,0
6601,D,Ship,6,4,297.0,5,high,M,6,1631,0
7988,F,Ship,4,2,225.0,8,low,F,8,5623,0
4302,F,Ship,3,2,204.0,2,high,F,2,5526,0
5791,D,Ship,$7,4,285.0,4,medium,F,2,1017,1
3903,A,Ship,5,3,231.0,3,medium,F,2,4735,0
6169,D,Flight,5,2,197.0,4,high,M,4,4339,1
10146,F,Flight,$7,5,254.0,4,medium,F,6,1014,0
8789,C,Ship,4,2,212.0,3,low,M,5,5413,0
2537,C,Ship,4,4,205.0,3,low,F,58,2522,1
6387,A,Ship,3,2,167.0,3,medium,M,5,5995,1
3716,F,Flight,5,5,165.0,2,low,M,3,4005,1
10719,A,Ship,5,2,246.0,5,low,F,4,1072,1
6403,D,Ship,4,5,144.0,2,medium,M,8,5478,0
2489,C,Ship,3,4,269.0,3,medium,F,21,3716,1
3372,F,Ship,4,3,270.0,2,high,F,5,5346,0
4193,C,Ship,4,1,111.0,4,medium,M,10,4711,0
10900,B,Ship,2,1,229.0,3,medium,M,9,5075,0
7421,C,Ship,5,4,263.0,4,low,F,10,1995,0
8164,B,Ship,5,1,146.0,3,high,F,3,4345,1
9107,C,Ship,4,4,263.0,3,medium,F,8,5475,0
117,A,Road,4,1,150.0,4,high,M,60,1024,1
1279,D,Ship,3,2,185.0,3,medium,M,47,2467,1
5792,F,Ship,5,1,265.0,5,medium,F,3,1514,1
5420,F,Ship,5,3,223.0,3,low,M,6,5977,0
10028,F,Ship,5,5,207.0,4,low,F,1,5035,0
7127,C,Flight,3,1,239.0,3,low,M,2,4425,0
5442,F,Ship,3,1,209.0,2,medium,F,3,4184,0
6899,C,Ship,2,2,212.0,4,medium,F,3,1284,1
5708,F,Ship,4,4,149.0,2,medium,F,9,4605,0
893,C,Ship,4,1,166.0,3,high,F,3,1453,1
1887,A,Ship,3,4,178.0,2,low,F,35,1183,1
10044,F,Ship,4,2,232.0,2,low,M,5,4907,0
4561,D,Ship,6,1,280.0,4,medium,M,5,1431,0
9616,B,Ship,3,2,198.0,4,low,F,3,4172,1
4890,F,Ship,5,5,232.0,3,low,F,2,4545,1
4129,D,Ship,4,2,272.0,4,low,M,3,5566,0
3270,F,Road,2,2,160.0,3,medium,F,9,4613,0
3022,B,Flight,4,1,167.0,3,low,M,42,1197,1
9983,C,Road,5,3,202.0,2,low,F,9,5645,1
6226,B,Ship,2,5,211.0,3,low,M,3,1368,0
8103,A,Ship,5,3,113.0,3,medium,F,5,4743,0
5111,C,Ship,3,4,256.0,3,low,M,7,5013,1
1655,C,Flight,3,3,180.0,3,high,F,56,1684,1
5104,B,Ship,5,3,215.0,2,medium,F,10,5194,1
2012,F,Ship,4,2,276.0,6,high,F,36,2843,1
1633,D,Road,3,4,204.0,3,low,F,49,3225,1
7671,A,Flight,6,4,284.0,4,low,F,9,1436,0
5220,F,Flight,$7,5,310.0,4,low,F,5,1975,0
8331,A,Road,6,5,308.0,4,low,M,8,1569,1
6611,C,Ship,6,4,283.0,4,medium,M,1,1384,1
4382,F,Flight,3,1,224.0,2,low,M,9,4007,1
9270,F,Ship,3,2,244.0,3,high,F,5,5781,1
7428,F,Ship,5,5,264.0,3,high,F,3,5835,1
9302,F,Road,3,5,234.0,2,medium,F,8,5241,1
8054,F,Ship,$7,4,269.0,4,medium,M,5,1073,0
842,F,Ship,3,2,140.0,2,low,F,16,1685,1
4447,D,Ship,6,3,219.0,4,medium,M,6,4885,1
5684,F,Ship,4,1,183.0,3,medium,F,4,4789,0
8815,D,Ship,3,2,138.0,10,low,M,1,5721,1
10905,A,Ship,4,2,218.0,2,low,M,4,4299,1
6551,C,Road,5,5,244.0,5,low,M,5,1787,0
5592,F,Road,2,3,201.0,3,medium,M,5,5733,1
3761,C,Ship,4,3,197.0,2,low,M,7,5449,0
405,A,Road,5,3,213.0,4,medium,F,50,2003,1
11,C,Flight,3,4,189.0,2,medium,M,12,2888,1
5723,C,Ship,6,3,266.0,4,medium,M,8,1983,1
4641,A,Road,4,4,184.0,3,medium,M,2,4639,0
4970,F,Ship,4,3,275.0,3,low,F,3,4824,0
6787,D,Ship,5,2,237.0,4,low,M,5,5623,1
3093,A,Ship,3,1,238.0,6,medium,F,59,3375,1
8267,C,Ship,6,4,263.0,4,low,M,3,1276,0
5822,F,Ship,4,4,276.0,2,medium,F,3,4306,1
6149,C,Road,4,5,242.0,2,medium,F,5,4806,0
129,A,Road,4,4,200.0,4,medium,M,16,2060,1
6058,B,Ship,3,5,186.0,2,medium,M,8,5924,0
7055,C,Ship,4,2,181.0,3,medium,M,6,5964,0
5933,C,Ship,3,2,170.0,3,low,M,9,4069,0
9892,B,Ship,4,4,272.0,2,low,M,1,4013,1
5828,F,Ship,4,2,246.0,4,medium,M,7,5056,1
4881,A,Ship,3,3,218.0,3,low,F,4,5086,1
6556,B,Road,5,1,298.0,4,low,M,4,1551,0
5661,A,Ship,4,4,152.0,2,medium,F,5,5324,0
5407,D,Ship,4,3,161.0,2,medium,M,3,4391,1
121,D,Road,4,2,183.0,3,low,F,33,2741,1
6652,B,Ship,4,3,123.0,4,medium,M,6,4166,0
364,B,Ship,4,3,187.0,4,high,F,29,3141,1
4688,F,Ship,5,5,236.0,3,high,M,4,5724,1
189,A,Ship,2,5,139.0,3,low,F,27,1233,1
8455,D,Ship,2,4,176.0,3,low,M,1,4509,0
1026,F,Ship,5,4,191.0,4,medium,M,63,2039,1
9247,D,Ship,4,5,209.0,3,medium,F,4,4809,0
9168,F,Road,6,4,260.0,4,low,F,1,1883,0
1155,A,Ship,4,5,143.0,8,low,M,44,1756,1
9442,B,Road,4,1,238.0,5,medium,F,3,1913,0
6680,F,Ship,5,4,153.0,3,low,M,5,4711,1
9080,F,Ship,3,5,150.0,10,low,M,2,5042,0
4328,F,Ship,5,3,104.0,4,low,M,3,4885,1
10882,B,Ship,3,2,123.0,4,low,F,10,5891,0
4411,D,Ship,3,5,197.0,3,medium,F,2,4018,1
7124,F,Flight,4,1,168.0,2,medium,F,8,5276,1
7731,A,Ship,4,5,247.0,5,low,M,9,1499,0
8662,B,Ship,5,2,239.0,5,medium,F,6,1365,1
1358,F,Road,5,1,184.0,4,medium,F,38,2232,1
9887,C,Ship,6,3,298.0,4,low,F,9,1515,1
4279,D,Ship,6,2,271.0,10,medium,F,2,4145,0
8043,A,Ship,3,3,307.0,5,low,F,3,1578,1
9595,D,Flight,4,5,251.0,5,high,M,8,4573,0
9555,A,Ship,3,2,204.0,2,low,F,2,5033,1
2369,C,Ship,2,1,180.0,2,medium,F,31,1078,1
9459,A,Flight,5,1,271.0,5,low,M,4,1353,0
6581,C,Flight,6,5,305.0,4,medium,M,10,1418,1
4722,F,Ship,3,2,201.0,6,medium,M,7,4723,1
1538,F,Ship,4,5,171.0,3,medium,F,2,1114,1
6309,A,Flight,$7,5,260.0,4,low,F,3,1930,1
962,F,Flight,3,3,179.0,2,low,F,62,1765,1
544,B,Flight,3,3,231.0,2,low,M,46,2962,1
8914,B,Flight,6,2,288.0,4,medium,M,9,1405,1
2233,D,Ship,4,4,156.0,3,low,M,20,1523,1
6481,D,Ship,5,4,222.0,3,medium,F,10,4663,0
6029,C,Flight,6,4,262.0,4,low,F,10,1068,1
2536,B,Ship,2,1,229.0,4,low,F,11,3614,1
4234,B,Road,4,5,259.0,3,medium,M,3,4741,1
9970,B,Ship,3,2,198.0,5,medium,F,6,5443,0
5745,A,Road,4,5,134.0,3,medium,F,4,5423,0
5228,F,Ship,5,1,187.0,4,medium,F,8,5164,0
6372,F,Ship,3,3,249.0,2,medium,M,9,4034,1
7761,A,Ship,5,1,276.0,5,low,F,6,1793,0
150,F,Flight,5,1,149.0,3,low,M,40,1062,1
3748,B,Ship,2,3,187.0,2,medium,F,10,5957,0
5023,D,Ship,6,4,275.0,4,low,F,3,1182,0
10784,F,Ship,5,1,247.0,5,medium,F,8,1842,1
2962,B,Ship,4,3,202.0,3,low,F,48,2213,1
6578,F,Flight,5,1,266.0,5,low,F,9,1852,0
7287,A,Ship,4,1,191.0,2,low,F,4,5851,1
8344,B,Road,4,5,219.0,5,low,M,2,1260,0
7277,C,Flight,4,2,267.0,2,low,M,7,5746,1
5888,F,Flight,3,2,227.0,2,medium,M,10,4290,0
5730,F,Road,4,5,175.0,3,medium,F,5,4194,0
1963,D,Ship,2,1,165.0,4,low,F,57,1881,1
7980,F,Ship,4,4,272.0,2,low,M,7,4042,1
9915,A,Ship,6,2,259.0,4,low,F,10,2000,1
9533,C,Ship,2,4,178.0,4,medium,F,8,4620,0
5143,D,Ship,4,1,152.0,3,low,M,10,5974,0
9236,F,Ship,4,2,243.0,3,low,M,3,5703,0
1420,B,Ship,4,5,161.0,2,medium,M,55,1457,1
4613,C,Ship,4,2,205.0,2,low,F,10,5580,0
4966,B,Ship,4,4,193.0,3,medium,M,8,4715,1
10202,F,Ship,6,4,271.0,4,low,F,6,1503,0
7539,A,Flight,3,1,153.0,3,low,M,9,4404,0
6827,C,Road,5,4,248.0,5,low,F,3,1471,1
1502,F,Road,3,1,269.0,2,medium,M,38,2195,1
1369,D,Flight,4,3,247.0,4,low,F,19,3838,1
1850,F,Ship,3,2,178.0,2,low,M,32,1329,1
268,B,Road,4,1,258.0,3,medium,M,36,2211,1
1534,B,Ship,3,1,171.0,3,medium,M,28,1075,1
2935,D,Ship,4,3,135.0,3,low,F,15,1008,1
9542,F,Ship,3,4,171.0,3,low,M,10,4839,0
2206,B,Flight,6,2,229.0,3,medium,M,13,2322,1
10579,D,Ship,4,4,160.0,3,low,M,1,4770,0
3489,A,Ship,5,4,152.0,3,low,M,1,5314,1
5310,F,Ship,3,4,243.0,3,medium,M,8,5705,1
1640,F,Flight,3,1,233.0,3,medium,M,1,2744,1
7373,C,Road,2,1,130.0,4,medium,F,10,4726,0
6891,A,Ship,6,3,247.0,4,medium,M,3,1903,0
2914,B,Ship,6,1,250.0,5,low,F,53,3352,1
9384,F,Ship,5,4,157.0,7,medium,M,3,4723,0
3188,F,Ship,5,5,231.0,7,high,M,6,5755,0
10473,A,Ship,5,3,221.0,5,low,F,8,1109,0
2577,A,Road,3,4,167.0,3,low,M,14,1420,1
4983,A,Ship,3,3,262.0,7,high,F,9,5097,0
8656,B,Ship,$7,1,245.0,4,medium,M,4,1653,1
9751,D,Ship,3,4,181.0,3,high,F,9,5470,0
5919,A,Ship,4,3,196.0,2,low,F,5,5656,0
6710,F,Flight,5,3,171.0,2,medium,F,1,5385,1
4228,B,Road,4,3,159.0,2,high,M,3,5731,1
5019,A,Ship,$7,1,306.0,4,medium,M,5,1467,0
5057,C,Road,3,3,157.0,4,medium,F,2,5684,0
3147,A,Flight,4,1,172.0,3,medium,M,7,4883,0
1033,D,Ship,5,4,254.0,5,low,F,36,2039,1
9733,D,Flight,3,5,252.0,3,medium,F,8,4557,1
298,B,Ship,4,4,232.0,2,low,M,36,2861,1
3301,D,Flight,3,1,230.0,3,medium,F,6,4392,0
356,F,Ship,5,1,266.0,3,low,F,31,3157,1
9856,B,Road,2,2,260.0,3,medium,F,6,4747,0
580,B,Ship,2,5,201.0,3,medium,F,29,3894,1
8350,B,Road,5,3,265.0,5,low,F,3,1005,1
2157,A,Ship,3,1,150.0,2,low,M,9,1158,1
9505,D,Ship,4,4,251.0,3,medium,F,9,5350,1
10366,B,Ship,3,4,261.0,4,medium,F,7,5731,0
5195,C,Road,4,2,262.0,3,low,F,9,4941,0
503,C,Ship,3,4,191.0,4,medium,F,43,2903,1
9507,A,Ship,4,1,243.0,3,medium,M,10,5832,0
1031,C,Ship,4,1,239.0,2,high,M,16,2504,1
8318,F,Ship,5,3,245.0,5,low,F,10,1112,0
3277,D,Road,3,4,134.0,3,medium,F,9,4230,1
2723,C,Road,4,3,214.0,4,low,M,34,3446,1
3244,B,Ship,4,2,232.0,3,medium,M,8,4658,1
1592,F,Ship,5,3,252.0,2,low,M,11,3036,1
4118,F,Flight,4,4,225.0,3,low,M,10,4486,0
10836,F,Flight,5,4,143.0,2,low,F,8,5291,0
3932,F,Ship,2,4,187.0,6,medium,F,9,4388,0
10510,B,Ship,3,4,247.0,2,low,M,2,4975,1
2977,D,Ship,3,4,231.0,3,medium,M,39,3792,1
9590,F,Flight,3,4,166.0,4,low,F,1,5533,1
2649,A,Ship,3,1,135.0,4,medium,M,47,1840,1
2203,D,Flight,5,3,266.0,3,low,F,19,2508,1
10782,F,Ship,4,2,267.0,5,medium,F,2,1307,1
9526,B,Ship,3,5,251.0,3,low,M,1,5073,0
3792,F,Ship,3,3,268.0,10,medium,M,2,5626,1
6077,C,Ship,3,4,188.0,4,low,F,6,5016,0
10332,F,Ship,4,5,161.0,3,medium,F,2,5378,0
5455,D,Road,5,5,132.0,2,high,F,1,4233,0
9491,C,Ship,4,1,155.0,3,medium,M,9,4443,0
10231,D,Ship,4,3,137.0,3,medium,M,5,4854,1
454,B,Ship,4,1,275.0,10,medium,F,23,2726,1
1528,B,Ship,5,5,229.0,2,medium,F,59,3844,1
7166,F,Ship,$7,5,289.0,4,low,F,5,1864,1
8857,D,Ship,4,1,211.0,7,high,M,4,4476,1
1580,F,Ship,3,5,137.0,3,high,F,28,1815,1
9216,F,Ship,3,4,162.0,3,medium,M,7,5313,0
6018,F,Road,6,3,269.0,4,low,M,3,1006,0
10826,F,Flight,4,4,258.0,3,medium,M,8,5324,1
10965,A,Flight,5,3,224.0,5,low,M,5,1842,0
6890,F,Ship,6,2,279.0,4,low,M,1,1150,1
5511,A,Ship,6,2,305.0,4,low,M,8,1015,0
3862,B,Ship,4,5,226.0,2,high,M,2,5881,1
2202,F,Flight,3,4,144.0,2,low,F,33,1811,1
10667,C,Road,4,5,262.0,6,medium,M,1,1249,0
115,D,Road,3,5,168.0,2,high,M,50,1616,1
6841,D,Road,4,5,142.0,2,low,M,2,4472,0
5475,A,Road,4,4,253.0,2,low,F,6,5892,0
3854,F,Ship,3,3,232.0,3,low,F,9,5016,1
2556,F,Ship,3,5,150.0,2,low,M,29,1934,1
2053,D,Flight,3,5,162.0,2,low,M,28,1948,1
4485,A,Ship,4,5,171.0,4,low,F,4,5265,0
2052,F,Flight,4,5,221.0,3,low,F,43,3561,1
2565,A,Ship,4,2,252.0,3,medium,F,43,3273,1
10740,F,Ship,5,3,242.0,5,low,F,9,1716,0
3298,B,Flight,3,3,205.0,2,medium,M,6,4989,1
9819,A,Ship,3,1,144.0,2,medium,M,8,5378,1
4432,B,Ship,4,2,257.0,3,medium,M,8,5045,1
2867,C,Road,3,3,274.0,2,medium,F,59,3436,1
2258,F,Ship,4,5,178.0,3,low,F,5,1012,1
9827,C,Ship,5,2,165.0,5,medium,M,9,5313,0
4806,F,Flight,$7,5,278.0,4,low,F,5,1572,1
5059,D,Road,4,4,216.0,2,low,F,4,5984,0
1468,B,Ship,3,5,250.0,4,low,F,11,3464,1
6231,A,Ship,6,5,282.0,4,medium,F,4,1013,0
8962,B,Ship,6,4,257.0,6,low,F,7,4265,0
2601,A,Flight,5,4,190.0,2,medium,F,23,3960,1
3034,B,Ship,4,4,260.0,2,low,M,17,3068,1
8571,A,Ship,3,1,165.0,3,low,M,10,5823,0
4824,F,Ship,6,1,263.0,4,low,F,6,1153,0
6869,C,Ship,6,4,261.0,4,low,F,5,1794,1
8091,A,Flight,3,1,245.0,3,low,F,4,5449,0
2449,D,Road,5,3,136.0,3,medium,F,13,1446,1
3557,C,Road,5,2,244.0,2,low,M,10,5696,0
259,D,Road,2,3,158.0,3,low,F,13,1245,1
502,B,Ship,3,2,177.0,3,low,M,10,1641,1
1463,C,Ship,5,1,248.0,3,low,M,37,3830,1
4731,A,Ship,5,1,269.0,3,low,F,5,5031,0
7814,F,Flight,4,1,240.0,3,low,F,4,4787,0
8829,A,Ship,4,3,246.0,5,low,F,1,1673,1
7822,B,Flight,5,5,142.0,4,medium,M,8,5372,0
2478,F,Flight,5,2,209.0,4,medium,M,15,3330,1
3509,C,Ship,3,3,275.0,4,medium,M,6,4687,1
6723,A,Flight,4,4,193.0,3,medium,F,3,4596,0
8770,B,Flight,5,2,174.0,5,medium,M,8,4656,0
1209,A,Road,3,1,154.0,2,low,F,44,1994,1
1027,D,Ship,3,1,138.0,5,medium,F,8,1349,1
1517,C,Flight,3,5,182.0,3,medium,M,34,3595,1
2194,B,Flight,3,2,272.0,3,medium,F,40,3766,1
343,D,Ship,4,5,162.0,2,medium,M,64,1918,1
2459,C,Road,2,5,168.0,3,low,M,37,1717,1
3592,B,Ship,2,3,134.0,10,high,F,1,5632,0
5921,C,Ship,5,5,154.0,2,medium,M,3,4669,0
5671,D,Ship,5,5,200.0,3,low,M,6,4401,1
2846,F,Ship,4,5,146.0,3,low,F,9,1685,1
1137,A,Ship,5,5,198.0,5,medium,M,36,2803,1
8661,A,Ship,4,2,271.0,5,medium,M,4,1633,1
568,B,Ship,5,2,268.0,3,low,M,19,2526,1
463,D,Ship,3,4,244.0,8,low,M,1,2703,1
6151,D,Road,4,3,179.0,3,low,F,3,5495,1
2165,C,Ship,5,4,165.0,3,medium,F,48,1240,1
7863,A,Ship,5,1,132.0,4,medium,F,4,5461,0
3157,D,Flight,3,5,132.0,3,low,M,7,4013,1
1379,C,Flight,3,1,110.0,3,low,F,54,1155,1
5255,C,Ship,6,3,274.0,4,low,M,10,1174,0
7987,D,Ship,4,1,233.0,7,medium,M,7,4272,1
817,D,Road,4,1,176.0,3,medium,F,36,1891,1
6410,F,Ship,3,2,164.0,2,medium,F,7,4150,0
5757,A,Flight,6,1,266.0,4,medium,F,2,1862,1
10963,D,Flight,4,1,261.0,4,medium,F,7,5600,1
9484,B,Ship,3,2,241.0,3,medium,F,9,4301,0
6887,C,Ship,6,3,278.0,4,high,F,3,1033,0
2051,C,Flight,5,4,180.0,2,low,M,52,1122,1
4711,D,Ship,4,2,224.0,2,medium,F,8,4781,1
4213,D,Ship,3,5,222.0,3,low,M,4,5149,0
1948,B,Ship,3,2,116.0,2,low,F,22,1430,1
9242,F,Ship,4,4,166.0,6,low,F,6,4100,1
618,F,Ship,5,3,245.0,2,medium,F,8,3231,1
10195,D,Ship,6,4,310.0,4,medium,M,1,1494,1
5710,B,Ship,4,5,242.0,2,low,F,1,5682,1
4805,C,Flight,6,2,152.0,2,low,F,9,1993,0
6107,C,Ship,4,2,246.0,3,high,M,5,5960,0
8411,C,Ship,3,3,241.0,2,high,M,2,4836,1
2059,D,Flight,5,2,215.0,2,medium,M,46,3942,1
1690,B,Ship,2,4,137.0,3,high,F,41,1176,1
2286,F,Ship,4,1,135.0,2,high,F,25,1009,1
4487,C,Ship,3,4,174.0,3,medium,F,4,4051,0
3224,F,Ship,5,4,269.0,3,low,F,3,4489,0
10893,A,Ship,4,5,167.0,2,low,F,7,5800,0
7821,A,Flight,4,5,265.0,2,medium,F,9,5135,1
7370,F,Ship,5,4,211.0,2,medium,F,7,4734,0
324,F,Ship,3,1,192.0,2,low,M,33,2818,1
1427,C,Ship,6,3,294.0,4,low,M,52,1667,1
7521,A,Road,3,5,204.0,2,low,M,1,4133,0
2426,F,Ship,3,1,150.0,2,medium,F,46,1431,1
7096,B,Ship,5,2,195.0,6,high,M,5,5339,1
4582,B,Ship,6,3,213.0,4,low,F,2,5349,0
4135,D,Ship,4,1,193.0,4,low,F,4,4796,0
5488,B,Flight,5,5,169.0,4,low,F,2,4188,0
1390,B,Ship,5,3,167.0,3,low,F,51,1573,1
8948,F,Ship,4,4,220.0,3,low,F,4,5622,0
721,D,Ship,5,3,170.0,3,low,F,12,1018,1
1960,B,Ship,4,5,268.0,3,low,F,64,2386,1
2929,D,Ship,5,3,114.0,6,medium,F,60,1746,1
7955,C,Flight,5,1,239.0,5,low,F,7,1859,1
9379,D,Ship,4,4,167.0,4,low,M,2,5908,1
3707,C,Flight,3,2,274.0,2,medium,M,5,5161,0
132,F,Road,3,4,144.0,3,low,M,50,1865,1
10603,D,Ship,5,2,176.0,4,low,M,1,5810,0
9816,F,Ship,4,3,125.0,3,low,F,10,5883,0
4960,B,Ship,5,5,191.0,4,medium,F,10,4933,1
5526,F,Ship,6,1,260.0,4,medium,M,9,1698,1
5608,B,Road,3,1,166.0,2,medium,F,9,5853,1
6319,D,Flight,6,3,191.0,6,medium,F,2,4471,0
9441,A,Road,5,2,269.0,6,medium,F,5,1097,0
6552,F,Road,$7,3,264.0,4,medium,M,3,1296,0
3113,C,Ship,3,5,195.0,3,medium,F,47,2439,1
9248,F,Ship,4,3,256.0,2,medium,F,3,4679,1
7233,A,Ship,5,2,174.0,4,medium,M,8,5627,1
4910,F,Road,3,1,257.0,2,low,M,6,4897,1
10354,B,Ship,3,2,196.0,6,low,M,6,5414,0
2703,A,Ship,5,3,244.0,3,low,F,52,3118,1
2771,C,Ship,4,4,132.0,4,medium,F,44,1692,1
2266,B,Ship,4,4,223.0,3,medium,F,51,3895,1
2647,D,Ship,3,3,124.0,3,medium,M,59,1959,1
7022,F,Ship,4,2,227.0,2,low,M,8,4878,1
3784,B,Ship,3,3,201.0,10,high,M,10,5281,0
7085,C,Ship,4,1,168.0,2,medium,F,1,5698,1
1042,B,Ship,3,1,236.0,3,medium,M,28,3290,1
2371,D,Ship,4,4,161.0,4,low,F,14,1194,1
1220,F,Road,5,5,169.0,4,medium,F,23,1922,1
9050,F,Flight,3,4,238.0,2,low,M,5,4349,1
9424,B,Ship,$7,5,289.0,4,low,M,9,1904,0
10597,D,Ship,3,1,167.0,3,low,F,4,5943,1
693,A,Flight,4,1,250.0,2,low,M,17,3544,1
684,F,Flight,4,5,137.0,4,high,M,29,1262,1
1495,D,Road,3,5,192.0,2,medium,F,5,2339,1
10333,D,Ship,5,4,161.0,5,medium,M,1,5779,1
3123,A,Ship,4,1,237.0,4,medium,F,22,2231,1
4142,F,Ship,3,3,214.0,3,medium,F,2,4964,1
9881,C,Flight,6,3,296.0,4,low,F,4,1650,0
4825,D,Ship,5,1,285.0,4,medium,F,10,1428,0
3912,F,Ship,4,3,104.0,4,medium,M,3,4548,0
8798,F,Ship,3,3,150.0,2,medium,M,9,4100,0
806,F,Road,4,1,133.0,3,low,M,57,1379,1
941,C,Road,2,1,113.0,5,low,F,9,1957,1
8137,D,Ship,4,3,177.0,3,low,M,1,5282,0
9119,C,Ship,3,3,247.0,2,high,F,8,4593,1
4663,D,Flight,5,2,279.0,4,low,F,8,4418,1
1780,B,Flight,3,2,169.0,2,medium,M,61,1511,1
7777,D,Ship,5,1,249.0,3,low,F,8,5940,0
1696,B,Ship,5,5,150.0,5,medium,F,61,1091,1
3755,C,Ship,5,1,111.0,4,high,F,2,5978,1
5424,F,Ship,5,3,134.0,2,low,M,10,5279,1
4873,D,Ship,6,4,138.0,3,medium,F,4,4225,0
3292,B,Flight,5,1,270.0,2,high,M,10,5360,0
2103,A,Ship,3,5,164.0,3,low,M,61,1473,1
1411,D,Ship,3,4,110.0,3,low,F,55,1281,1
8842,B,Ship,$7,1,269.0,4,medium,M,4,1118,1
3965,C,Road,3,1,260.0,2,medium,F,6,4332,0
2878,B,Flight,5,5,240.0,3,medium,F,12,2723,1
3050,F,Ship,3,4,271.0,4,medium,F,16,2693,1
8500,B,Flight,4,5,234.0,3,medium,F,10,4204,1
5368,B,Ship,5,2,203.0,6,medium,F,7,5289,0
7009,D,Ship,4,1,196.0,2,low,M,3,4752,0
3090,F,Ship,4,5,219.0,3,medium,M,27,3684,1
7284,F,Ship,4,3,151.0,3,medium,F,9,4908,0
3409,D,Road,3,2,188.0,3,low,M,4,5376,0
7683,A,Flight,5,2,241.0,2,medium,M,9,4965,0
5553,A,Ship,3,5,143.0,2,low,F,6,4253,0
5997,A,Ship,6,5,249.0,4,medium,M,3,1710,1
10238,F,Ship,5,1,233.0,3,low,F,9,5039,0
10910,F,Ship,4,2,229.0,4,low,M,8,5385,0
5923,D,Ship,3,3,208.0,2,medium,F,5,5661,0
10033,D,Ship,3,3,224.0,6,medium,M,10,4221,0
3273,A,Road,5,4,171.0,4,low,M,7,5359,1
3797,C,Ship,6,4,237.0,5,medium,F,10,5434,0
4853,C,Ship,4,4,254.0,4,low,F,10,4827,0
2058,F,Flight,3,4,254.0,2,high,M,56,3266,1
1693,D,Ship,4,4,212.0,4,medium,F,2,3830,1
7469,C,Ship,6,1,286.0,4,medium,M,1,1636,0
9981,A,Road,4,3,227.0,3,medium,M,8,5829,1
9207,A,Ship,3,2,226.0,2,low,M,10,4254,0
10608,F,Ship,4,3,245.0,4,medium,F,5,4660,0
7641,A,Ship,4,1,151.0,3,low,F,4,5610,1
4160,F,Ship,3,3,134.0,4,medium,M,7,5370,1
